document_id,origin_class,generation_channel,nll,scored_tokens,n_windows,expected_tokens,provenance
deepseek_pro_b011_P3_r2,A,deepseek_pro,3.225473,3367,6,3367,унаследовано из nll-v1
deepseek_pro_b012_P1_r1,A,deepseek_pro,3.518267,2072,4,2072,унаследовано из nll-v1
deepseek_pro_b012_P1_r2,A,deepseek_pro,3.232558,2279,4,2279,унаследовано из nll-v1
deepseek_pro_b012_P2_r1,A,deepseek_pro,3.035662,1253,2,1253,унаследовано из nll-v1
deepseek_pro_b012_P2_r2,A,deepseek_pro,3.298386,1028,2,1028,унаследовано из nll-v1
deepseek_pro_b012_P3_r1,A,deepseek_pro,3.233797,1962,3,1962,унаследовано из nll-v1
deepseek_pro_b012_P3_r2,A,deepseek_pro,3.133479,2580,5,2580,унаследовано из nll-v1
deepseek_pro_b013_P1_r1,A,deepseek_pro,3.213132,2577,5,2577,унаследовано из nll-v1
deepseek_pro_b013_P1_r2,A,deepseek_pro,3.134485,2229,4,2229,унаследовано из nll-v1
deepseek_pro_b013_P2_r1,A,deepseek_pro,3.080169,1152,2,1152,унаследовано из nll-v1
deepseek_pro_b013_P2_r2,A,deepseek_pro,2.956180,990,1,990,унаследовано из nll-v1
deepseek_pro_b013_P3_r1,A,deepseek_pro,3.362035,2029,3,2029,унаследовано из nll-v1
deepseek_pro_b013_P3_r2,A,deepseek_pro,3.116127,2094,4,2094,унаследовано из nll-v1
deepseek_pro_b014_P1_r1,A,deepseek_pro,2.997390,2657,5,2657,унаследовано из nll-v1
deepseek_pro_b014_P1_r2,A,deepseek_pro,3.108782,1541,3,1541,унаследовано из nll-v1
deepseek_pro_b014_P2_r1,A,deepseek_pro,2.862850,1190,2,1190,унаследовано из nll-v1
deepseek_pro_b014_P2_r2,A,deepseek_pro,2.923140,873,1,873,унаследовано из nll-v1
deepseek_pro_b014_P3_r1,A,deepseek_pro,3.223182,2239,4,2239,унаследовано из nll-v1
deepseek_pro_b014_P3_r2,A,deepseek_pro,3.199583,1619,3,1619,унаследовано из nll-v1
deepseek_pro_b015_P1_r1,A,deepseek_pro,3.019734,3175,6,3175,унаследовано из nll-v1
deepseek_pro_b015_P1_r2,A,deepseek_pro,3.031177,1768,3,1768,унаследовано из nll-v1
deepseek_pro_b015_P2_r1,A,deepseek_pro,3.143554,733,1,733,унаследовано из nll-v1
deepseek_pro_b015_P2_r2,A,deepseek_pro,2.880890,743,1,743,унаследовано из nll-v1
deepseek_pro_b015_P3_r1,A,deepseek_pro,2.997421,3345,6,3345,унаследовано из nll-v1
deepseek_pro_b015_P3_r2,A,deepseek_pro,3.057876,2450,4,2450,унаследовано из nll-v1
deepseek_pro_b016_P1_r1,A,deepseek_pro,3.050617,2052,4,2052,унаследовано из nll-v1
deepseek_pro_b016_P1_r2,A,deepseek_pro,3.118536,2870,5,2870,унаследовано из nll-v1
deepseek_pro_b016_P2_r1,A,deepseek_pro,3.091794,1979,3,1979,унаследовано из nll-v1
deepseek_pro_b016_P2_r2,A,deepseek_pro,3.153864,977,1,977,унаследовано из nll-v1
deepseek_pro_b016_P3_r1,A,deepseek_pro,3.320310,1911,3,1911,унаследовано из nll-v1
deepseek_pro_b016_P3_r2,A,deepseek_pro,3.291442,2236,4,2236,унаследовано из nll-v1
deepseek_pro_b017_P1_r1,A,deepseek_pro,3.241843,2925,5,2925,унаследовано из nll-v1
deepseek_pro_b017_P1_r2,A,deepseek_pro,3.572566,2874,5,2874,унаследовано из nll-v1
deepseek_pro_b017_P2_r1,A,deepseek_pro,3.179055,1786,3,1786,унаследовано из nll-v1
deepseek_pro_b017_P2_r2,A,deepseek_pro,3.196305,356,1,356,унаследовано из nll-v1
deepseek_pro_b017_P3_r1,A,deepseek_pro,3.212596,2498,4,2498,унаследовано из nll-v1
deepseek_pro_b017_P3_r2,A,deepseek_pro,3.063687,2644,5,2644,унаследовано из nll-v1
deepseek_pro_b018_P1_r1,A,deepseek_pro,3.300985,2128,4,2128,унаследовано из nll-v1
deepseek_pro_b018_P1_r2,A,deepseek_pro,3.112804,2703,5,2703,унаследовано из nll-v1
deepseek_pro_b018_P2_r1,A,deepseek_pro,3.170576,1278,2,1278,унаследовано из nll-v1
deepseek_pro_b018_P2_r2,A,deepseek_pro,3.052062,1414,2,1414,унаследовано из nll-v1
deepseek_pro_b018_P3_r1,A,deepseek_pro,3.142205,2353,4,2353,унаследовано из nll-v1
deepseek_pro_b018_P3_r2,A,deepseek_pro,3.232825,2397,4,2397,унаследовано из nll-v1
deepseek_pro_b019_P1_r1,A,deepseek_pro,3.284300,2106,4,2106,унаследовано из nll-v1
deepseek_pro_b019_P1_r2,A,deepseek_pro,3.154180,2418,4,2418,унаследовано из nll-v1
deepseek_pro_b019_P2_r1,A,deepseek_pro,3.453604,1229,2,1229,унаследовано из nll-v1
deepseek_pro_b019_P2_r2,A,deepseek_pro,3.222741,1158,2,1158,унаследовано из nll-v1
deepseek_pro_b019_P3_r1,A,deepseek_pro,3.240530,2420,4,2420,унаследовано из nll-v1
deepseek_pro_b019_P3_r2,A,deepseek_pro,3.350613,2721,5,2721,унаследовано из nll-v1
deepseek_pro_b020_P1_r1,A,deepseek_pro,3.208371,1918,3,1918,унаследовано из nll-v1
deepseek_pro_b020_P1_r2,A,deepseek_pro,3.088309,1934,3,1934,унаследовано из nll-v1
deepseek_pro_b020_P2_r1,A,deepseek_pro,3.080515,1093,2,1093,унаследовано из nll-v1
deepseek_pro_b020_P2_r2,A,deepseek_pro,3.151295,1293,2,1293,унаследовано из nll-v1
deepseek_pro_b020_P3_r1,A,deepseek_pro,3.233919,2036,3,2036,унаследовано из nll-v1
deepseek_pro_b020_P3_r2,A,deepseek_pro,3.361039,2547,4,2547,унаследовано из nll-v1
deepseek_pro_b021_P1_r1,A,deepseek_pro,3.175618,1993,3,1993,унаследовано из nll-v1
deepseek_pro_b021_P1_r2,A,deepseek_pro,3.163909,2113,4,2113,унаследовано из nll-v1
deepseek_pro_b021_P2_r1,A,deepseek_pro,3.027178,923,1,923,унаследовано из nll-v1
deepseek_pro_b021_P2_r2,A,deepseek_pro,2.957460,649,1,649,унаследовано из nll-v1
deepseek_pro_b021_P3_r1,A,deepseek_pro,3.226346,2028,3,2028,унаследовано из nll-v1
deepseek_pro_b021_P3_r2,A,deepseek_pro,3.342080,1936,3,1936,унаследовано из nll-v1
deepseek_pro_b022_P1_r1,A,deepseek_pro,3.044507,2461,4,2461,унаследовано из nll-v1
deepseek_pro_b022_P1_r2,A,deepseek_pro,2.921929,1269,2,1269,унаследовано из nll-v1
deepseek_pro_b022_P2_r1,A,deepseek_pro,2.971987,1423,2,1423,унаследовано из nll-v1
deepseek_pro_b022_P2_r2,A,deepseek_pro,3.185152,760,1,760,унаследовано из nll-v1
deepseek_pro_b022_P3_r1,A,deepseek_pro,3.298443,1847,3,1847,унаследовано из nll-v1
deepseek_pro_b022_P3_r2,A,deepseek_pro,3.039849,1992,3,1992,унаследовано из nll-v1
deepseek_pro_b023_P1_r1,A,deepseek_pro,3.041956,2545,4,2545,унаследовано из nll-v1
deepseek_pro_b023_P1_r2,A,deepseek_pro,3.070633,2196,4,2196,унаследовано из nll-v1
deepseek_pro_b023_P2_r1,A,deepseek_pro,2.994861,1033,2,1033,унаследовано из nll-v1
deepseek_pro_b023_P2_r2,A,deepseek_pro,3.068645,1974,3,1974,унаследовано из nll-v1
deepseek_pro_b023_P3_r1,A,deepseek_pro,3.167387,1927,3,1927,унаследовано из nll-v1
deepseek_pro_b023_P3_r2,A,deepseek_pro,3.150515,2467,4,2467,унаследовано из nll-v1
deepseek_pro_b024_P1_r1,A,deepseek_pro,3.357407,1604,3,1604,унаследовано из nll-v1
deepseek_pro_b024_P1_r2,A,deepseek_pro,3.237933,1652,3,1652,унаследовано из nll-v1
deepseek_pro_b024_P2_r1,A,deepseek_pro,3.337770,812,1,812,унаследовано из nll-v1
deepseek_pro_b024_P2_r2,A,deepseek_pro,3.203390,1293,2,1293,унаследовано из nll-v1
deepseek_pro_b024_P3_r1,A,deepseek_pro,3.258240,2372,4,2372,унаследовано из nll-v1
deepseek_pro_b024_P3_r2,A,deepseek_pro,3.224434,2188,4,2188,унаследовано из nll-v1
deepseek_pro_b025_P1_r1,A,deepseek_pro,3.209726,2517,4,2517,унаследовано из nll-v1
deepseek_pro_b025_P1_r2,A,deepseek_pro,3.013507,2422,4,2422,унаследовано из nll-v1
deepseek_pro_b025_P2_r1,A,deepseek_pro,3.095801,1290,2,1290,унаследовано из nll-v1
deepseek_pro_b025_P2_r2,A,deepseek_pro,3.163799,800,1,800,унаследовано из nll-v1
deepseek_pro_b025_P3_r1,A,deepseek_pro,3.102485,2618,5,2618,унаследовано из nll-v1
deepseek_pro_b025_P3_r2,A,deepseek_pro,3.093710,2521,4,2521,унаследовано из nll-v1
deepseek_pro_b026_P1_r1,A,deepseek_pro,2.958166,2945,5,2945,унаследовано из nll-v1
deepseek_pro_b026_P1_r2,A,deepseek_pro,3.019712,575,1,575,унаследовано из nll-v1
deepseek_pro_b026_P2_r1,A,deepseek_pro,3.054877,739,1,739,унаследовано из nll-v1
deepseek_pro_b026_P2_r2,A,deepseek_pro,2.978739,896,1,896,унаследовано из nll-v1
deepseek_pro_b026_P3_r1,A,deepseek_pro,2.924948,2996,5,2996,унаследовано из nll-v1
deepseek_pro_b026_P3_r2,A,deepseek_pro,3.383196,2235,4,2235,унаследовано из nll-v1
deepseek_pro_b027_P1_r1,A,deepseek_pro,3.117743,3263,6,3263,унаследовано из nll-v1
deepseek_pro_b027_P1_r2,A,deepseek_pro,3.176974,1901,3,1901,унаследовано из nll-v1
deepseek_pro_b027_P2_r1,A,deepseek_pro,3.036079,901,1,901,унаследовано из nll-v1
deepseek_pro_b027_P2_r2,A,deepseek_pro,3.019720,2038,3,2038,унаследовано из nll-v1
deepseek_pro_b027_P3_r1,A,deepseek_pro,3.089856,2232,4,2232,унаследовано из nll-v1
deepseek_pro_b027_P3_r2,A,deepseek_pro,3.030868,2468,4,2468,унаследовано из nll-v1
deepseek_pro_b028_P1_r1,A,deepseek_pro,3.141114,914,1,914,унаследовано из nll-v1
deepseek_pro_b028_P1_r2,A,deepseek_pro,3.171332,1637,3,1637,унаследовано из nll-v1
deepseek_pro_b028_P2_r1,A,deepseek_pro,3.300028,867,1,867,унаследовано из nll-v1
deepseek_pro_b028_P2_r2,A,deepseek_pro,3.129972,2061,4,2061,унаследовано из nll-v1
deepseek_pro_b028_P3_r1,A,deepseek_pro,3.325047,1786,3,1786,унаследовано из nll-v1
deepseek_pro_b028_P3_r2,A,deepseek_pro,3.277257,2425,4,2425,унаследовано из nll-v1
deepseek_pro_b029_P1_r1,A,deepseek_pro,3.141878,2780,5,2780,унаследовано из nll-v1
deepseek_pro_b029_P1_r2,A,deepseek_pro,3.127365,2947,5,2947,унаследовано из nll-v1
deepseek_pro_b029_P2_r1,A,deepseek_pro,2.993740,1311,2,1311,унаследовано из nll-v1
deepseek_pro_b029_P2_r2,A,deepseek_pro,3.219929,1347,2,1347,унаследовано из nll-v1
deepseek_pro_b029_P3_r1,A,deepseek_pro,3.177118,2608,5,2608,унаследовано из nll-v1
deepseek_pro_b029_P3_r2,A,deepseek_pro,3.114720,2210,4,2210,унаследовано из nll-v1
deepseek_pro_b030_P1_r1,A,deepseek_pro,3.123108,2423,4,2423,унаследовано из nll-v1
deepseek_pro_b030_P1_r2,A,deepseek_pro,2.999722,2433,4,2433,унаследовано из nll-v1
deepseek_pro_b030_P2_r1,A,deepseek_pro,3.051057,1020,1,1020,унаследовано из nll-v1
deepseek_pro_b030_P2_r2,A,deepseek_pro,3.031919,2821,5,2821,унаследовано из nll-v1
deepseek_pro_b030_P3_r1,A,deepseek_pro,3.039730,2265,4,2265,унаследовано из nll-v1
deepseek_pro_b030_P3_r2,A,deepseek_pro,3.077748,2317,4,2317,унаследовано из nll-v1
deepseek_pro_b031_P1_r1,A,deepseek_pro,2.770752,1143,2,1143,унаследовано из nll-v1
deepseek_pro_b031_P1_r2,A,deepseek_pro,2.958603,2480,4,2480,унаследовано из nll-v1
deepseek_pro_b031_P2_r1,A,deepseek_pro,3.134722,1149,2,1149,унаследовано из nll-v1
deepseek_pro_b031_P2_r2,A,deepseek_pro,2.980119,933,1,933,унаследовано из nll-v1
deepseek_pro_b031_P3_r1,A,deepseek_pro,2.994167,2216,4,2216,унаследовано из nll-v1
deepseek_pro_b031_P3_r2,A,deepseek_pro,2.874393,2324,4,2324,унаследовано из nll-v1
deepseek_pro_b032_P1_r1,A,deepseek_pro,3.192252,2910,5,2910,унаследовано из nll-v1
deepseek_pro_b032_P1_r2,A,deepseek_pro,2.842013,2669,5,2669,унаследовано из nll-v1
deepseek_pro_b032_P2_r1,A,deepseek_pro,3.065111,1482,2,1482,унаследовано из nll-v1
deepseek_pro_b032_P2_r2,A,deepseek_pro,3.182208,980,1,980,унаследовано из nll-v1
deepseek_pro_b032_P3_r1,A,deepseek_pro,3.035232,2448,4,2448,унаследовано из nll-v1
deepseek_pro_b032_P3_r2,A,deepseek_pro,3.062943,2386,4,2386,унаследовано из nll-v1
deepseek_pro_b033_P1_r1,A,deepseek_pro,3.306842,1147,2,1147,унаследовано из nll-v1
deepseek_pro_b033_P1_r2,A,deepseek_pro,3.298483,3026,5,3026,унаследовано из nll-v1
deepseek_pro_b033_P2_r1,A,deepseek_pro,3.146714,673,1,673,унаследовано из nll-v1
deepseek_pro_b033_P2_r2,A,deepseek_pro,3.188370,924,1,924,унаследовано из nll-v1
deepseek_pro_b033_P3_r1,A,deepseek_pro,3.288766,1971,3,1971,унаследовано из nll-v1
deepseek_pro_b033_P3_r2,A,deepseek_pro,3.093349,1840,3,1840,унаследовано из nll-v1
deepseek_pro_b034_P1_r1,A,deepseek_pro,3.081914,2438,4,2438,унаследовано из nll-v1
deepseek_pro_b034_P1_r2,A,deepseek_pro,3.044226,2166,4,2166,унаследовано из nll-v1
deepseek_pro_b034_P2_r1,A,deepseek_pro,3.100259,1567,3,1567,унаследовано из nll-v1
deepseek_pro_b034_P2_r2,A,deepseek_pro,2.988485,1224,2,1224,унаследовано из nll-v1
deepseek_pro_b034_P3_r1,A,deepseek_pro,3.088847,2595,5,2595,унаследовано из nll-v1
deepseek_pro_b034_P3_r2,A,deepseek_pro,3.215655,2194,4,2194,унаследовано из nll-v1
deepseek_pro_b035_P1_r1,A,deepseek_pro,3.209913,896,1,896,унаследовано из nll-v1
deepseek_pro_b035_P1_r2,A,deepseek_pro,3.066042,1209,2,1209,унаследовано из nll-v1
deepseek_pro_b035_P2_r1,A,deepseek_pro,3.030162,2135,4,2135,унаследовано из nll-v1
deepseek_pro_b035_P2_r2,A,deepseek_pro,3.080591,1288,2,1288,унаследовано из nll-v1
deepseek_pro_b035_P3_r1,A,deepseek_pro,2.968355,2483,4,2483,унаследовано из nll-v1
deepseek_pro_b035_P3_r2,A,deepseek_pro,3.269231,2574,5,2574,унаследовано из nll-v1
deepseek_pro_b036_P1_r1,A,deepseek_pro,3.070861,3057,5,3057,унаследовано из nll-v1
deepseek_pro_b036_P1_r2,A,deepseek_pro,3.203147,1490,2,1490,унаследовано из nll-v1
deepseek_pro_b036_P2_r1,A,deepseek_pro,3.122303,1738,3,1738,унаследовано из nll-v1
deepseek_pro_b036_P2_r2,A,deepseek_pro,3.052329,837,1,837,унаследовано из nll-v1
deepseek_pro_b036_P3_r1,A,deepseek_pro,3.084779,2121,4,2121,унаследовано из nll-v1
deepseek_pro_b036_P3_r2,A,deepseek_pro,3.185095,1761,3,1761,унаследовано из nll-v1
deepseek_pro_b037_P1_r1,A,deepseek_pro,3.101609,2820,5,2820,унаследовано из nll-v1
deepseek_pro_b037_P1_r2,A,deepseek_pro,3.064396,1205,2,1205,унаследовано из nll-v1
deepseek_pro_b037_P2_r1,A,deepseek_pro,2.883572,1179,2,1179,унаследовано из nll-v1
deepseek_pro_b037_P2_r2,A,deepseek_pro,3.110237,1224,2,1224,унаследовано из nll-v1
deepseek_pro_b037_P3_r1,A,deepseek_pro,3.064072,2678,5,2678,унаследовано из nll-v1
deepseek_pro_b037_P3_r2,A,deepseek_pro,2.906872,2085,4,2085,унаследовано из nll-v1
deepseek_pro_b038_P1_r1,A,deepseek_pro,3.249713,2689,5,2689,унаследовано из nll-v1
deepseek_pro_b038_P1_r2,A,deepseek_pro,3.184690,2763,5,2763,унаследовано из nll-v1
deepseek_pro_b038_P2_r1,A,deepseek_pro,2.933537,1159,2,1159,унаследовано из nll-v1
deepseek_pro_b038_P2_r2,A,deepseek_pro,3.052566,1006,1,1006,унаследовано из nll-v1
deepseek_pro_b038_P3_r1,A,deepseek_pro,3.017232,1865,3,1865,унаследовано из nll-v1
deepseek_pro_b038_P3_r2,A,deepseek_pro,3.272164,1941,3,1941,унаследовано из nll-v1
deepseek_pro_b039_P1_r1,A,deepseek_pro,3.058388,1533,2,1533,унаследовано из nll-v1
deepseek_pro_b039_P1_r2,A,deepseek_pro,2.943200,2756,5,2756,унаследовано из nll-v1
deepseek_pro_b039_P2_r1,A,deepseek_pro,3.120298,860,1,860,унаследовано из nll-v1
deepseek_pro_b039_P2_r2,A,deepseek_pro,3.116826,1792,3,1792,унаследовано из nll-v1
deepseek_pro_b039_P3_r1,A,deepseek_pro,2.997548,2689,5,2689,унаследовано из nll-v1
deepseek_pro_b039_P3_r2,A,deepseek_pro,3.219447,1543,3,1543,унаследовано из nll-v1
deepseek_pro_b040_P1_r1,A,deepseek_pro,3.241826,2231,4,2231,унаследовано из nll-v1
deepseek_pro_b040_P1_r2,A,deepseek_pro,3.288794,1698,3,1698,унаследовано из nll-v1
deepseek_pro_b040_P2_r1,A,deepseek_pro,3.181076,1961,3,1961,унаследовано из nll-v1
deepseek_pro_b040_P2_r2,A,deepseek_pro,3.514737,1608,3,1608,унаследовано из nll-v1
deepseek_pro_b040_P3_r1,A,deepseek_pro,3.269473,2195,4,2195,унаследовано из nll-v1
deepseek_pro_b040_P3_r2,A,deepseek_pro,3.230602,1993,3,1993,унаследовано из nll-v1
deepseek_pro_b041_P1_r1,A,deepseek_pro,2.975697,2267,4,2267,унаследовано из nll-v1
deepseek_pro_b041_P1_r2,A,deepseek_pro,2.981897,3035,5,3035,унаследовано из nll-v1
deepseek_pro_b041_P2_r1,A,deepseek_pro,3.116532,477,1,477,унаследовано из nll-v1
deepseek_pro_b041_P2_r2,A,deepseek_pro,3.079322,968,1,968,унаследовано из nll-v1
deepseek_pro_b041_P3_r1,A,deepseek_pro,2.913931,2000,3,2000,унаследовано из nll-v1
deepseek_pro_b041_P3_r2,A,deepseek_pro,3.099557,1531,2,1531,унаследовано из nll-v1
deepseek_pro_b042_P1_r1,A,deepseek_pro,3.076739,2838,5,2838,унаследовано из nll-v1
deepseek_pro_b042_P1_r2,A,deepseek_pro,3.089635,2267,4,2267,унаследовано из nll-v1
deepseek_pro_b042_P2_r1,A,deepseek_pro,3.379107,1218,2,1218,унаследовано из nll-v1
deepseek_pro_b042_P2_r2,A,deepseek_pro,3.035223,1029,2,1029,унаследовано из nll-v1
deepseek_pro_b042_P3_r1,A,deepseek_pro,3.108291,1762,3,1762,унаследовано из nll-v1
deepseek_pro_b042_P3_r2,A,deepseek_pro,2.934352,2383,4,2383,унаследовано из nll-v1
deepseek_pro_b043_P1_r1,A,deepseek_pro,2.923279,2518,4,2518,унаследовано из nll-v1
deepseek_pro_b043_P1_r2,A,deepseek_pro,3.062764,3289,6,3289,унаследовано из nll-v1
deepseek_pro_b043_P2_r1,A,deepseek_pro,3.012116,1807,3,1807,унаследовано из nll-v1
deepseek_pro_b043_P2_r2,A,deepseek_pro,3.017341,1674,3,1674,унаследовано из nll-v1
deepseek_pro_b043_P3_r1,A,deepseek_pro,3.387639,2540,4,2540,унаследовано из nll-v1
deepseek_pro_b043_P3_r2,A,deepseek_pro,3.295886,2542,4,2542,унаследовано из nll-v1
deepseek_pro_b044_P1_r1,A,deepseek_pro,3.008225,2151,4,2151,унаследовано из nll-v1
deepseek_pro_b044_P1_r2,A,deepseek_pro,3.178755,2162,4,2162,унаследовано из nll-v1
deepseek_pro_b044_P2_r1,A,deepseek_pro,3.219716,1351,2,1351,унаследовано из nll-v1
deepseek_pro_b044_P2_r2,A,deepseek_pro,3.149733,957,1,957,унаследовано из nll-v1
deepseek_pro_b044_P3_r1,A,deepseek_pro,3.298052,1991,3,1991,унаследовано из nll-v1
deepseek_pro_b044_P3_r2,A,deepseek_pro,3.038527,2125,4,2125,унаследовано из nll-v1
deepseek_pro_b045_P1_r1,A,deepseek_pro,3.258518,3052,5,3052,унаследовано из nll-v1
deepseek_pro_b045_P1_r2,A,deepseek_pro,3.103524,2930,5,2930,унаследовано из nll-v1
deepseek_pro_b045_P2_r1,A,deepseek_pro,3.123770,1211,2,1211,унаследовано из nll-v1
deepseek_pro_b045_P2_r2,A,deepseek_pro,3.077875,1154,2,1154,унаследовано из nll-v1
