document_id,origin_class,generation_channel,score_seed1,score_seed2,score_seed3,n_valid,median,range,status
deepseek_pro_b011_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b011_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b011_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b012_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b012_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b012_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b012_P2_r2,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b012_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b012_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b013_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b013_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b013_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b013_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b013_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b013_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b014_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b014_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b014_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b014_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b014_P3_r1,A,deepseek_pro,45,65,65,3,65.0,20,ok
deepseek_pro_b014_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b015_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b015_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b015_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b015_P2_r2,A,deepseek_pro,68,68,68,3,68.0,0,ok
deepseek_pro_b015_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b015_P3_r2,A,deepseek_pro,75,75,68,3,75.0,7,ok
deepseek_pro_b016_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b016_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b016_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b016_P2_r2,A,deepseek_pro,68,68,65,3,68.0,3,ok
deepseek_pro_b016_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b016_P3_r2,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b017_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b017_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b017_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b017_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b017_P3_r1,A,deepseek_pro,65,65,68,3,65.0,3,ok
deepseek_pro_b017_P3_r2,A,deepseek_pro,72,65,68,3,68.0,7,ok
deepseek_pro_b018_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b018_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b018_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b018_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b018_P3_r1,A,deepseek_pro,45,65,65,3,65.0,20,ok
deepseek_pro_b018_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b019_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b019_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b019_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b019_P2_r2,A,deepseek_pro,65,48,45,3,48.0,20,ok
deepseek_pro_b019_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b019_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b020_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b020_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b020_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b020_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b020_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b020_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b021_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b021_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b021_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b021_P2_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b021_P3_r1,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b021_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b022_P1_r1,A,deepseek_pro,65,,65,2,65.0,0,partial_two_of_three
deepseek_pro_b022_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b022_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b022_P2_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b022_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b022_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b023_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b023_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b023_P2_r1,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b023_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b023_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b023_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b024_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b024_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b024_P2_r1,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b024_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b024_P3_r1,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b024_P3_r2,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b025_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b025_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b025_P2_r1,A,deepseek_pro,58,68,65,3,65.0,10,ok
deepseek_pro_b025_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b025_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b025_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b026_P1_r1,A,deepseek_pro,58,68,65,3,65.0,10,ok
deepseek_pro_b026_P1_r2,A,deepseek_pro,45,45,55,3,45.0,10,ok
deepseek_pro_b026_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b026_P2_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b026_P3_r1,A,deepseek_pro,45,65,65,3,65.0,20,ok
deepseek_pro_b026_P3_r2,A,deepseek_pro,68,68,65,3,68.0,3,ok
deepseek_pro_b027_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b027_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b027_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b027_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b027_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b027_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b028_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b028_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b028_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b028_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b028_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b028_P3_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b029_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b029_P1_r2,A,deepseek_pro,75,68,65,3,68.0,10,ok
deepseek_pro_b029_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b029_P2_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b029_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b029_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b030_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b030_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b030_P2_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b030_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b030_P3_r1,A,deepseek_pro,68,68,68,3,68.0,0,ok
deepseek_pro_b030_P3_r2,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b031_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b031_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b031_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b031_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b031_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b031_P3_r2,A,deepseek_pro,75,68,65,3,68.0,10,ok
deepseek_pro_b032_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b032_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b032_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b032_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b032_P3_r1,A,deepseek_pro,75,68,65,3,68.0,10,ok
deepseek_pro_b032_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b033_P1_r1,A,deepseek_pro,68,68,68,3,68.0,0,ok
deepseek_pro_b033_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b033_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b033_P2_r2,A,deepseek_pro,48,65,65,3,65.0,17,ok
deepseek_pro_b033_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b033_P3_r2,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b034_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b034_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b034_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b034_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b034_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b034_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b035_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b035_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b035_P2_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b035_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b035_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b035_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b036_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b036_P1_r2,A,deepseek_pro,45,65,65,3,65.0,20,ok
deepseek_pro_b036_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b036_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b036_P3_r1,A,deepseek_pro,35,68,65,3,65.0,33,ok
deepseek_pro_b036_P3_r2,A,deepseek_pro,45,68,65,3,65.0,23,ok
deepseek_pro_b037_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b037_P1_r2,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b037_P2_r1,A,deepseek_pro,65,45,45,3,45.0,20,ok
deepseek_pro_b037_P2_r2,A,deepseek_pro,68,72,75,3,72.0,7,ok
deepseek_pro_b037_P3_r1,A,deepseek_pro,68,75,75,3,75.0,7,ok
deepseek_pro_b037_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b038_P1_r1,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b038_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b038_P2_r1,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b038_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b038_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b038_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b039_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b039_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b039_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b039_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b039_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b039_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b040_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b040_P1_r2,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b040_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b040_P2_r2,A,deepseek_pro,55,68,65,3,65.0,13,ok
deepseek_pro_b040_P3_r1,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b040_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b041_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b041_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b041_P2_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b041_P2_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b041_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b041_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b042_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b042_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b042_P2_r1,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b042_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b042_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b042_P3_r2,A,deepseek_pro,65,65,68,3,65.0,3,ok
deepseek_pro_b043_P1_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b043_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b043_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b043_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b043_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b043_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b044_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b044_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b044_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b044_P2_r2,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b044_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b044_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b045_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b045_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b045_P2_r1,A,deepseek_pro,75,68,68,3,68.0,7,ok
deepseek_pro_b045_P2_r2,A,deepseek_pro,68,72,75,3,72.0,7,ok
deepseek_pro_b045_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b045_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
gpt_b001_P1_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b001_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b001_P2_r1,A,gpt,55,65,65,3,65.0,10,ok
gpt_b001_P2_r2,A,gpt,68,65,68,3,68.0,3,ok
gpt_b001_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b001_P3_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b002_P1_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b002_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b002_P2_r1,A,gpt,55,65,65,3,65.0,10,ok
gpt_b002_P2_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b002_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b002_P3_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P1_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P2_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P2_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b003_P3_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b004_P1_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b004_P1_r2,A,gpt,68,65,68,3,68.0,3,ok
gpt_b004_P2_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b004_P2_r2,A,gpt,68,65,68,3,68.0,3,ok
gpt_b004_P3_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b004_P3_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b005_P1_r1,A,gpt,65,65,65,3,65.0,0,ok
gpt_b005_P1_r2,A,gpt,65,65,65,3,65.0,0,ok
gpt_b005_P2_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b005_P2_r2,A,gpt,68,65,68,3,68.0,3,ok
gpt_b005_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b005_P3_r2,A,gpt,55,65,65,3,65.0,10,ok
gpt_b006_P1_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b006_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b006_P2_r1,A,gpt,65,65,65,3,65.0,0,ok
gpt_b006_P2_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b006_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b006_P3_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b007_P1_r1,A,gpt,45,68,65,3,65.0,23,ok
gpt_b007_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b007_P2_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b007_P2_r2,A,gpt,65,65,65,3,65.0,0,ok
gpt_b007_P3_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b007_P3_r2,A,gpt,65,65,65,3,65.0,0,ok
gpt_b008_P1_r1,A,gpt,65,65,65,3,65.0,0,ok
gpt_b008_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b008_P2_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b008_P2_r2,A,gpt,65,68,65,3,65.0,3,ok
gpt_b008_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b008_P3_r2,A,gpt,65,65,65,3,65.0,0,ok
gpt_b009_P1_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b009_P1_r2,A,gpt,55,65,65,3,65.0,10,ok
gpt_b009_P2_r1,A,gpt,68,65,68,3,68.0,3,ok
gpt_b009_P2_r2,A,gpt,55,65,65,3,65.0,10,ok
gpt_b009_P3_r1,A,gpt,65,68,65,3,65.0,3,ok
gpt_b009_P3_r2,A,gpt,75,68,68,3,68.0,7,ok
gpt_b010_P1_r1,A,gpt,65,65,65,3,65.0,0,ok
gpt_b010_P1_r2,A,gpt,65,68,65,3,65.0,3,ok
