document_id,feature_id,reason
human_hard_rusltc_0026,M02,меньше двух абзацев
human_hard_rusltc_0029,M02,меньше двух абзацев
human_hard_rusltc_0030,M02,меньше двух абзацев
human_hard_rusltc_0031,M02,меньше двух абзацев
human_hard_rusltc_0032,M02,меньше двух абзацев
human_hard_rusltc_0035,M02,меньше двух абзацев
human_hard_rusltc_0037,M02,меньше двух абзацев
human_hard_rusltc_0038,M02,меньше двух абзацев
human_hard_rusltc_0039,M02,меньше двух абзацев
human_hard_rusltc_0040,M02,меньше двух абзацев
human_hard_rusltc_0041,M02,меньше двух абзацев
human_hard_rusltc_0043,M02,меньше двух абзацев
human_hard_rusltc_0044,M02,меньше двух абзацев
human_hard_rusltc_0047,M02,меньше двух абзацев
human_hard_rusltc_0049,M02,меньше двух абзацев
human_hard_rusltc_0050,M02,меньше двух абзацев
human_hard_rusltc_0051,M02,меньше двух абзацев
human_hard_rusltc_0054,M02,меньше двух абзацев
human_hard_rusltc_0057,M02,меньше двух абзацев
human_hard_rusltc_0064,M02,меньше двух абзацев
human_hard_rusltc_0068,M02,меньше двух абзацев
human_hard_rusltc_0073,M02,меньше двух абзацев
human_science_spbgu_0001,M02,меньше двух абзацев
human_science_spbgu_0009,M02,меньше двух абзацев
human_science_spbgu_0010,M02,меньше двух абзацев
human_science_spbgu_0014,M02,меньше двух абзацев
human_science_spbgu_0018,M02,меньше двух абзацев
human_science_spbgu_0029,M02,меньше двух абзацев
human_science_spbgu_0036,M02,меньше двух абзацев
human_science_spbgu_0042,M02,меньше двух абзацев
human_science_spbgu_0044,M02,меньше двух абзацев
human_science_spbgu_0049,M02,меньше двух абзацев
human_science_spbgu_0050,M02,меньше двух абзацев
human_science_spbgu_0055,M02,меньше двух абзацев
human_prose_taiga_arzamas_0006,M02,меньше двух абзацев
human_prose_taiga_arzamas_0047,M02,меньше двух абзацев
human_prose_taiga_arzamas_0052,M02,меньше двух абзацев
human_prose_taiga_arzamas_0058,M02,меньше двух абзацев
human_news_gazeta_0001,M02,меньше двух абзацев
human_news_gazeta_0002,M02,меньше двух абзацев
human_news_gazeta_0003,M02,меньше двух абзацев
human_news_gazeta_0004,M02,меньше двух абзацев
human_news_gazeta_0005,M02,меньше двух абзацев
human_news_gazeta_0006,M02,меньше двух абзацев
human_news_gazeta_0007,M02,меньше двух абзацев
human_news_gazeta_0008,M02,меньше двух абзацев
human_news_gazeta_0009,M02,меньше двух абзацев
human_news_gazeta_0010,M02,меньше двух абзацев
human_news_gazeta_0011,M02,меньше двух абзацев
human_news_gazeta_0012,M02,меньше двух абзацев
human_news_gazeta_0013,M02,меньше двух абзацев
human_news_gazeta_0014,M02,меньше двух абзацев
human_news_gazeta_0015,M02,меньше двух абзацев
human_news_gazeta_0016,M02,меньше двух абзацев
human_news_gazeta_0017,M02,меньше двух абзацев
human_news_gazeta_0018,M02,меньше двух абзацев
human_news_gazeta_0019,M02,меньше двух абзацев
human_news_gazeta_0020,M02,меньше двух абзацев
human_news_gazeta_0021,M02,меньше двух абзацев
human_news_gazeta_0022,M02,меньше двух абзацев
human_news_gazeta_0023,M02,меньше двух абзацев
human_news_gazeta_0024,M02,меньше двух абзацев
human_news_gazeta_0025,M02,меньше двух абзацев
human_news_gazeta_0026,M02,меньше двух абзацев
human_news_gazeta_0027,M02,меньше двух абзацев
human_news_gazeta_0028,M02,меньше двух абзацев
human_news_gazeta_0029,M02,меньше двух абзацев
human_news_gazeta_0030,M02,меньше двух абзацев
human_news_gazeta_0031,M02,меньше двух абзацев
human_news_gazeta_0032,M02,меньше двух абзацев
human_news_gazeta_0033,M02,меньше двух абзацев
human_news_gazeta_0034,M02,меньше двух абзацев
human_news_gazeta_0035,M02,меньше двух абзацев
human_news_gazeta_0036,M02,меньше двух абзацев
human_news_gazeta_0037,M02,меньше двух абзацев
human_news_gazeta_0038,M02,меньше двух абзацев
human_news_gazeta_0039,M02,меньше двух абзацев
human_news_gazeta_0040,M02,меньше двух абзацев
human_news_gazeta_0041,M02,меньше двух абзацев
human_news_gazeta_0042,M02,меньше двух абзацев
human_news_gazeta_0043,M02,меньше двух абзацев
human_news_gazeta_0044,M02,меньше двух абзацев
human_news_gazeta_0045,M02,меньше двух абзацев
human_news_gazeta_0046,M02,меньше двух абзацев
human_news_gazeta_0047,M02,меньше двух абзацев
human_news_gazeta_0048,M02,меньше двух абзацев
human_news_gazeta_0049,M02,меньше двух абзацев
human_news_gazeta_0050,M02,меньше двух абзацев
human_news_gazeta_0051,M02,меньше двух абзацев
human_news_gazeta_0052,M02,меньше двух абзацев
human_news_gazeta_0053,M02,меньше двух абзацев
human_news_gazeta_0054,M02,меньше двух абзацев
human_news_gazeta_0055,M02,меньше двух абзацев
human_news_gazeta_0056,M02,меньше двух абзацев
human_news_gazeta_0057,M02,меньше двух абзацев
human_news_gazeta_0058,M02,меньше двух абзацев
human_news_gazeta_0059,M02,меньше двух абзацев
human_news_gazeta_0060,M02,меньше двух абзацев
human_science_spbgu_0064,M02,меньше двух абзацев
human_science_spbgu_0065,M02,меньше двух абзацев
