original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format,weight_common,weight_format,dropped_categories,m02_missing,applied_no_change
human_prose_taiga_proza_0034,1,замена длинных тире,1,H,prose,,,34.0580,34.0580,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_proza_0056,1,замена длинных тире,1,H,prose,,,37.0169,32.6691,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
human_science_cyberleninka_0026,1,замена длинных тире,1,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_science_cyberleninka_0031,1,замена длинных тире,1,H,science,,,41.1836,36.8357,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
human_science_cyberleninka_0032,1,замена длинных тире,1,H,science,,,37.5604,33.9372,-3.6232,3.6232,0,18,4,0.5700,0.1200,,0,0
human_science_cyberleninka_0053,1,замена длинных тире,1,H,science,,,46.7995,38.1039,-8.6956,8.6956,1,18,4,0.5700,0.1200,,0,0
human_science_spbgu_0024,1,замена длинных тире,1,H,science,,,51.9324,53.6232,1.6908,1.6908,0,18,4,0.5700,0.1200,,0,0
human_science_urfu_0028,1,замена длинных тире,1,H,science,,,41.7874,37.4396,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
human_seo_alaev_0004,1,замена длинных тире,1,H,seo,,,37.8623,37.1377,-0.7246,0.7246,0,18,4,0.5700,0.1200,,0,0
human_seo_convertmonster_0001,1,замена длинных тире,1,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_seo_devaka_ru_0004,1,замена длинных тире,1,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_seo_drmax_0002,1,замена длинных тире,1,H,seo,,,38.1039,38.1039,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_seo_drmax_su_0001,1,замена длинных тире,1,H,seo,,,29.7101,27.5362,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,0
human_seo_labrika_0002,1,замена длинных тире,1,H,seo,,,26.1473,30.4952,4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
nemotron_b012_P1_r1,1,замена длинных тире,1,A,seo,P1,nemotron,53.3213,40.2778,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,0
nemotron_b015_P3_r2,1,замена длинных тире,1,A,seo,P3,nemotron,61.7754,55.2536,-6.5218,6.5218,1,18,4,0.5700,0.1200,,0,0
nemotron_b016_P1_r1,1,замена длинных тире,1,A,analytics,P1,nemotron,52.5362,43.8406,-8.6956,8.6956,1,18,4,0.5700,0.1200,,0,0
nemotron_b022_P3_r2,1,замена длинных тире,1,A,analytics,P3,nemotron,38.8889,32.3671,-6.5218,6.5218,1,18,4,0.5700,0.1200,,0,0
nemotron_b028_P1_r2,1,замена длинных тире,1,A,analytics,P1,nemotron,65.2778,52.2343,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,0
nemotron_b033_P2_r2,1,замена длинных тире,1,A,commercial,P2,nemotron,60.1449,48.5507,-11.5942,11.5942,1,18,4,0.5700,0.1200,,0,0
nemotron_b038_P1_r2,1,замена длинных тире,1,A,commercial,P1,nemotron,55.1932,42.1498,-13.0434,13.0434,1,18,4,0.5700,0.1200,,0,0
real_claude_b015_P2_r1,1,замена длинных тире,1,A,seo,P2,real_claude,58.5145,45.4710,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,0
real_claude_b018_P3_r2,1,замена длинных тире,1,A,analytics,P3,real_claude,45.7126,41.3647,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
real_claude_b024_P1_r2,1,замена длинных тире,1,A,analytics,P1,real_claude,53.4420,41.1232,-12.3188,12.3188,1,18,4,0.5700,0.1200,,0,0
real_claude_b025_P2_r1,1,замена длинных тире,1,A,analytics,P2,real_claude,46.2560,33.2126,-13.0434,13.0434,1,18,4,0.5700,0.1200,,0,0
real_claude_b034_P2_r2,1,замена длинных тире,1,A,commercial,P2,real_claude,72.8865,64.1908,-8.6957,8.6957,1,18,4,0.5700,0.1200,,0,0
real_claude_b040_P3_r2,1,замена длинных тире,1,A,commercial,P3,real_claude,43.7198,37.1981,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,0
real_claude_b042_P3_r2,1,замена длинных тире,1,A,commercial,P3,real_claude,29.0459,24.6981,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
real_claude_b045_P3_r1,1,замена длинных тире,1,A,commercial,P3,real_claude,53.5024,49.1546,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
deepseek_pro_b002_P3_r1,2,изменение markdown-разметки,1,A,seo,P3,deepseek_pro,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
deepseek_pro_b004_P2_r1,2,изменение markdown-разметки,1,A,seo,P2,deepseek_pro,63.7681,49.2754,-14.4927,14.4927,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b007_P3_r2,2,изменение markdown-разметки,1,A,seo,P3,deepseek_pro,47.5845,41.0628,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b009_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,deepseek_pro,49.1546,44.8068,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
deepseek_pro_b009_P2_r2,2,изменение markdown-разметки,1,A,seo,P2,deepseek_pro,53.0797,43.8406,-9.2391,9.2391,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b021_P2_r2,2,изменение markdown-разметки,1,A,analytics,P2,deepseek_pro,59.8430,48.9734,-10.8696,10.8696,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b037_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,deepseek_pro,61.2923,47.7657,-13.5266,13.5266,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b038_P1_r2,2,изменение markdown-разметки,1,A,commercial,P1,deepseek_pro,43.0556,37.9831,-5.0725,5.0725,1,18,4,0.5700,0.1200,,0,0
gpt_b004_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,gpt,41.5459,41.5459,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b004_P3_r1,2,изменение markdown-разметки,1,A,seo,P3,gpt,35.0242,35.0242,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b021_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,gpt,52.4155,52.4155,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b026_P1_r1,2,изменение markdown-разметки,1,A,analytics,P1,gpt,61.1715,58.9976,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
gpt_b028_P2_r1,2,изменение markdown-разметки,1,A,analytics,P2,gpt,43.7802,37.2585,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,0
gpt_b031_P1_r1,2,изменение markdown-разметки,1,A,commercial,P1,gpt,29.7705,27.5966,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
gpt_b040_P2_r1,2,изменение markdown-разметки,1,A,commercial,P2,gpt,60.1449,48.1884,-11.9565,11.9565,1,18,4,0.5700,0.1200,,0,0
human_hard_rusltc_0001,2,изменение markdown-разметки,1,H,translation,,,45.2899,43.5990,-1.6909,1.6909,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0002,2,изменение markdown-разметки,1,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0003,2,изменение markdown-разметки,1,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0055,2,изменение markdown-разметки,1,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0068,2,изменение markdown-разметки,1,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_hard_rusltc_0073,2,изменение markdown-разметки,1,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_buriy_2014_0027,2,изменение markdown-разметки,1,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_news_buriy_2014_0034,2,изменение markdown-разметки,1,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_news_gazeta_0031,2,изменение markdown-разметки,1,H,news,,,36.3527,36.3527,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_gazeta_0040,2,изменение markdown-разметки,1,H,news,,,29.1063,28.0193,-1.0870,1.0870,0,17,4,0.5700,0.1200,,1,1
human_news_lenta_0001,2,изменение markdown-разметки,1,H,news,,,49.2150,49.2150,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_lenta_0016,2,изменение markdown-разметки,1,H,news,,,61.2319,61.2319,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_prose_taiga_arzamas_0050,2,изменение markdown-разметки,1,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_arzamas_0051,2,изменение markdown-разметки,1,H,prose,,,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_magazines_0048,2,изменение markdown-разметки,1,H,prose,,,55.1329,56.5821,1.4492,1.4492,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_magazines_0053,2,изменение markdown-разметки,1,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_proza_0034,2,изменение markdown-разметки,1,H,prose,,,34.0580,34.0580,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_proza_0056,2,изменение markdown-разметки,1,H,prose,,,37.0169,32.6691,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0026,2,изменение markdown-разметки,1,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0031,2,изменение markdown-разметки,1,H,science,,,41.1836,36.8357,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0032,2,изменение markdown-разметки,1,H,science,,,37.5604,37.5604,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0053,2,изменение markdown-разметки,1,H,science,,,46.7995,38.1039,-8.6956,8.6956,1,18,4,0.5700,0.1200,,0,0
human_science_spbgu_0024,2,изменение markdown-разметки,1,H,science,,,51.9324,51.9324,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_urfu_0028,2,изменение markdown-разметки,1,H,science,,,41.7874,37.4396,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
human_seo_alaev_0004,2,изменение markdown-разметки,1,H,seo,,,37.8623,37.1377,-0.7246,0.7246,0,18,4,0.5700,0.1200,,0,0
human_seo_convertmonster_0001,2,изменение markdown-разметки,1,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_devaka_ru_0004,2,изменение markdown-разметки,1,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_drmax_0002,2,изменение markdown-разметки,1,H,seo,,,38.1039,38.1039,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_drmax_su_0001,2,изменение markdown-разметки,1,H,seo,,,29.7101,27.5362,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
human_seo_labrika_0002,2,изменение markdown-разметки,1,H,seo,,,26.1473,30.4952,4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
nemotron_b012_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,nemotron,53.3213,40.2778,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,0
nemotron_b015_P3_r2,2,изменение markdown-разметки,1,A,seo,P3,nemotron,61.7754,56.7029,-5.0725,5.0725,1,18,4,0.5700,0.1200,,0,0
nemotron_b016_P1_r1,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,52.5362,45.2899,-7.2463,7.2463,1,18,4,0.5700,0.1200,,0,0
nemotron_b022_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,nemotron,38.8889,32.3671,-6.5218,6.5218,1,18,4,0.5700,0.1200,,0,1
nemotron_b028_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,65.2778,52.2343,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,0
nemotron_b033_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,nemotron,60.1449,46.0145,-14.1304,14.1304,1,18,4,0.5700,0.1200,,0,0
nemotron_b038_P1_r2,2,изменение markdown-разметки,1,A,commercial,P1,nemotron,55.1932,42.1498,-13.0434,13.0434,1,18,4,0.5700,0.1200,,0,1
real_claude_b015_P2_r1,2,изменение markdown-разметки,1,A,seo,P2,real_claude,58.5145,45.4710,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,1
real_claude_b018_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,real_claude,45.7126,41.3647,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,1
real_claude_b024_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,real_claude,53.4420,42.5725,-10.8695,10.8695,1,18,4,0.5700,0.1200,,0,1
real_claude_b025_P2_r1,2,изменение markdown-разметки,1,A,analytics,P2,real_claude,46.2560,33.2126,-13.0434,13.0434,1,18,4,0.5700,0.1200,,0,1
real_claude_b034_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,real_claude,72.8865,64.1908,-8.6957,8.6957,1,18,4,0.5700,0.1200,,0,1
real_claude_b040_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,43.7198,37.1981,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,1
real_claude_b042_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,29.0459,24.6981,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
real_claude_b045_P3_r1,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,53.5024,49.1546,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
deepseek_pro_b002_P3_r1,3,удаление заголовков,0,A,seo,P3,deepseek_pro,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
deepseek_pro_b004_P2_r1,3,удаление заголовков,0,A,seo,P2,deepseek_pro,63.7681,52.8986,-10.8695,10.8695,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b007_P3_r2,3,удаление заголовков,0,A,seo,P3,deepseek_pro,47.5845,41.0628,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b009_P1_r1,3,удаление заголовков,0,A,seo,P1,deepseek_pro,49.1546,44.8068,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
deepseek_pro_b009_P2_r2,3,удаление заголовков,0,A,seo,P2,deepseek_pro,53.0797,43.8406,-9.2391,9.2391,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b021_P2_r2,3,удаление заголовков,0,A,analytics,P2,deepseek_pro,59.8430,48.9734,-10.8696,10.8696,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b037_P2_r2,3,удаление заголовков,0,A,commercial,P2,deepseek_pro,61.2923,52.5966,-8.6957,8.6957,1,18,4,0.5700,0.1200,,0,1
deepseek_pro_b038_P1_r2,3,удаление заголовков,0,A,commercial,P1,deepseek_pro,43.0556,39.2512,-3.8044,3.8044,0,18,4,0.5700,0.1200,,0,1
gpt_b004_P1_r1,3,удаление заголовков,0,A,seo,P1,gpt,41.5459,41.5459,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b004_P3_r1,3,удаление заголовков,0,A,seo,P3,gpt,35.0242,35.0242,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b021_P3_r2,3,удаление заголовков,0,A,analytics,P3,gpt,52.4155,52.4155,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
gpt_b026_P1_r1,3,удаление заголовков,0,A,analytics,P1,gpt,61.1715,58.9976,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
gpt_b028_P2_r1,3,удаление заголовков,0,A,analytics,P2,gpt,43.7802,37.2585,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,1
gpt_b031_P1_r1,3,удаление заголовков,0,A,commercial,P1,gpt,29.7705,27.5966,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
gpt_b040_P2_r1,3,удаление заголовков,0,A,commercial,P2,gpt,60.1449,53.6232,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0001,3,удаление заголовков,0,H,translation,,,45.2899,43.5990,-1.6909,1.6909,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0002,3,удаление заголовков,0,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0003,3,удаление заголовков,0,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0055,3,удаление заголовков,0,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0068,3,удаление заголовков,0,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_hard_rusltc_0073,3,удаление заголовков,0,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_buriy_2014_0027,3,удаление заголовков,0,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_news_buriy_2014_0034,3,удаление заголовков,0,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_news_gazeta_0031,3,удаление заголовков,0,H,news,,,36.3527,36.3527,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_gazeta_0040,3,удаление заголовков,0,H,news,,,29.1063,28.0193,-1.0870,1.0870,0,17,4,0.5700,0.1200,,1,1
human_news_lenta_0001,3,удаление заголовков,0,H,news,,,49.2150,49.2150,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_lenta_0016,3,удаление заголовков,0,H,news,,,61.2319,61.2319,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_prose_taiga_arzamas_0050,3,удаление заголовков,0,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_arzamas_0051,3,удаление заголовков,0,H,prose,,,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_magazines_0048,3,удаление заголовков,0,H,prose,,,55.1329,56.5821,1.4492,1.4492,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_magazines_0053,3,удаление заголовков,0,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_proza_0034,3,удаление заголовков,0,H,prose,,,34.0580,34.0580,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_proza_0056,3,удаление заголовков,0,H,prose,,,37.0169,32.6691,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0026,3,удаление заголовков,0,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0031,3,удаление заголовков,0,H,science,,,41.1836,36.8357,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0032,3,удаление заголовков,0,H,science,,,37.5604,37.5604,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_cyberleninka_0053,3,удаление заголовков,0,H,science,,,46.7995,38.1039,-8.6956,8.6956,1,18,4,0.5700,0.1200,,0,0
human_science_spbgu_0024,3,удаление заголовков,0,H,science,,,51.9324,51.9324,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_science_urfu_0028,3,удаление заголовков,0,H,science,,,41.7874,37.4396,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1
human_seo_alaev_0004,3,удаление заголовков,0,H,seo,,,37.8623,37.1377,-0.7246,0.7246,0,18,4,0.5700,0.1200,,0,0
human_seo_convertmonster_0001,3,удаление заголовков,0,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_devaka_ru_0004,3,удаление заголовков,0,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_drmax_0002,3,удаление заголовков,0,H,seo,,,38.1039,38.1039,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_seo_drmax_su_0001,3,удаление заголовков,0,H,seo,,,29.7101,27.5362,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1
human_seo_labrika_0002,3,удаление заголовков,0,H,seo,,,26.1473,30.4952,4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
nemotron_b012_P1_r1,3,удаление заголовков,0,A,seo,P1,nemotron,53.3213,40.2778,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,1
nemotron_b015_P3_r2,3,удаление заголовков,0,A,seo,P3,nemotron,61.7754,55.2536,-6.5218,6.5218,1,18,4,0.5700,0.1200,,0,1
nemotron_b016_P1_r1,3,удаление заголовков,0,A,analytics,P1,nemotron,52.5362,43.8406,-8.6956,8.6956,1,18,4,0.5700,0.1200,,0,1
nemotron_b022_P3_r2,3,удаление заголовков,0,A,analytics,P3,nemotron,38.8889,32.3671,-6.5218,6.5218,1,18,4,0.5700,0.1200,,0,1
nemotron_b028_P1_r2,3,удаление заголовков,0,A,analytics,P1,nemotron,65.2778,52.2343,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,1
nemotron_b033_P2_r2,3,удаление заголовков,0,A,commercial,P2,nemotron,60.1449,47.1014,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,1
nemotron_b038_P1_r2,3,удаление заголовков,0,A,commercial,P1,nemotron,55.1932,42.1498,-13.0434,13.0434,1,18,4,0.5700,0.1200,,0,1
real_claude_b015_P2_r1,3,удаление заголовков,0,A,seo,P2,real_claude,58.5145,45.4710,-13.0435,13.0435,1,18,4,0.5700,0.1200,,0,1
real_claude_b018_P3_r2,3,удаление заголовков,0,A,analytics,P3,real_claude,45.7126,42.8140,-2.8986,2.8986,0,18,4,0.5700,0.1200,,0,1
