document_id,origin_class,generation_channel,nll,scored_tokens,n_windows,expected_tokens
deepseek_pro_b007_P2_r1,A,deepseek_pro,3.047885,1216,2,1216
deepseek_pro_b007_P2_r2,A,deepseek_pro,2.960526,936,1,936
deepseek_pro_b007_P3_r1,A,deepseek_pro,2.946335,2180,4,2180
deepseek_pro_b007_P3_r2,A,deepseek_pro,3.047212,2708,5,2708
deepseek_pro_b008_P1_r1,A,deepseek_pro,3.006850,2355,4,2355
deepseek_pro_b008_P1_r2,A,deepseek_pro,3.036632,2552,4,2552
deepseek_pro_b008_P2_r1,A,deepseek_pro,2.901680,1378,2,1378
deepseek_pro_b008_P2_r2,A,deepseek_pro,3.006587,1240,2,1240
deepseek_pro_b008_P3_r1,A,deepseek_pro,3.174201,2520,4,2520
deepseek_pro_b008_P3_r2,A,deepseek_pro,3.175927,2167,4,2167
deepseek_pro_b009_P1_r1,A,deepseek_pro,2.999451,2933,5,2933
deepseek_pro_b009_P1_r2,A,deepseek_pro,3.038400,1759,3,1759
deepseek_pro_b009_P2_r1,A,deepseek_pro,3.334648,1359,2,1359
deepseek_pro_b009_P2_r2,A,deepseek_pro,2.931191,1067,2,1067
deepseek_pro_b009_P3_r1,A,deepseek_pro,3.093755,2152,4,2152
deepseek_pro_b009_P3_r2,A,deepseek_pro,3.152363,1445,2,1445
deepseek_pro_b010_P1_r1,A,deepseek_pro,2.974424,2311,4,2311
deepseek_pro_b010_P1_r2,A,deepseek_pro,2.949215,1801,3,1801
deepseek_pro_b010_P2_r1,A,deepseek_pro,3.004417,2886,5,2886
deepseek_pro_b010_P2_r2,A,deepseek_pro,3.022218,2158,4,2158
deepseek_pro_b010_P3_r1,A,deepseek_pro,2.965189,1776,3,1776
deepseek_pro_b010_P3_r2,A,deepseek_pro,3.263237,2187,4,2187
deepseek_pro_b011_P1_r1,A,deepseek_pro,2.950606,1720,3,1720
deepseek_pro_b011_P1_r2,A,deepseek_pro,3.161135,1480,2,1480
deepseek_pro_b011_P2_r1,A,deepseek_pro,3.230182,919,1,919
deepseek_pro_b011_P2_r2,A,deepseek_pro,3.052231,957,1,957
deepseek_pro_b011_P3_r1,A,deepseek_pro,3.060772,2142,4,2142
deepseek_pro_b011_P3_r2,A,deepseek_pro,3.225473,3367,6,3367
deepseek_pro_b012_P1_r1,A,deepseek_pro,3.518267,2072,4,2072
deepseek_pro_b012_P1_r2,A,deepseek_pro,3.232558,2279,4,2279
deepseek_pro_b012_P2_r1,A,deepseek_pro,3.035662,1253,2,1253
deepseek_pro_b012_P2_r2,A,deepseek_pro,3.298386,1028,2,1028
deepseek_pro_b012_P3_r1,A,deepseek_pro,3.233797,1962,3,1962
deepseek_pro_b012_P3_r2,A,deepseek_pro,3.133479,2580,5,2580
deepseek_pro_b013_P1_r1,A,deepseek_pro,3.213132,2577,5,2577
deepseek_pro_b013_P1_r2,A,deepseek_pro,3.134485,2229,4,2229
deepseek_pro_b013_P2_r1,A,deepseek_pro,3.080169,1152,2,1152
deepseek_pro_b013_P2_r2,A,deepseek_pro,2.956180,990,1,990
deepseek_pro_b013_P3_r1,A,deepseek_pro,3.362035,2029,3,2029
deepseek_pro_b013_P3_r2,A,deepseek_pro,3.116127,2094,4,2094
deepseek_pro_b014_P1_r1,A,deepseek_pro,2.997390,2657,5,2657
deepseek_pro_b014_P1_r2,A,deepseek_pro,3.108782,1541,3,1541
deepseek_pro_b014_P2_r1,A,deepseek_pro,2.862850,1190,2,1190
deepseek_pro_b014_P2_r2,A,deepseek_pro,2.923140,873,1,873
deepseek_pro_b014_P3_r1,A,deepseek_pro,3.223182,2239,4,2239
deepseek_pro_b014_P3_r2,A,deepseek_pro,3.199583,1619,3,1619
deepseek_pro_b015_P1_r1,A,deepseek_pro,3.019734,3175,6,3175
deepseek_pro_b015_P1_r2,A,deepseek_pro,3.031177,1768,3,1768
deepseek_pro_b015_P2_r1,A,deepseek_pro,3.143554,733,1,733
deepseek_pro_b015_P2_r2,A,deepseek_pro,2.880890,743,1,743
deepseek_pro_b015_P3_r1,A,deepseek_pro,2.997421,3345,6,3345
deepseek_pro_b015_P3_r2,A,deepseek_pro,3.057876,2450,4,2450
deepseek_pro_b016_P1_r1,A,deepseek_pro,3.050617,2052,4,2052
deepseek_pro_b016_P1_r2,A,deepseek_pro,3.118536,2870,5,2870
deepseek_pro_b016_P2_r1,A,deepseek_pro,3.091794,1979,3,1979
deepseek_pro_b016_P2_r2,A,deepseek_pro,3.153864,977,1,977
deepseek_pro_b016_P3_r1,A,deepseek_pro,3.320310,1911,3,1911
deepseek_pro_b016_P3_r2,A,deepseek_pro,3.291442,2236,4,2236
deepseek_pro_b017_P1_r1,A,deepseek_pro,3.241843,2925,5,2925
deepseek_pro_b017_P1_r2,A,deepseek_pro,3.572566,2874,5,2874
deepseek_pro_b017_P2_r1,A,deepseek_pro,3.179055,1786,3,1786
deepseek_pro_b017_P2_r2,A,deepseek_pro,3.196305,356,1,356
deepseek_pro_b017_P3_r1,A,deepseek_pro,3.212596,2498,4,2498
deepseek_pro_b017_P3_r2,A,deepseek_pro,3.063687,2644,5,2644
deepseek_pro_b018_P1_r1,A,deepseek_pro,3.300985,2128,4,2128
deepseek_pro_b018_P1_r2,A,deepseek_pro,3.112804,2703,5,2703
deepseek_pro_b018_P2_r1,A,deepseek_pro,3.170576,1278,2,1278
deepseek_pro_b018_P2_r2,A,deepseek_pro,3.052062,1414,2,1414
deepseek_pro_b018_P3_r1,A,deepseek_pro,3.142205,2353,4,2353
deepseek_pro_b018_P3_r2,A,deepseek_pro,3.232825,2397,4,2397
deepseek_pro_b019_P1_r1,A,deepseek_pro,3.284300,2106,4,2106
deepseek_pro_b019_P1_r2,A,deepseek_pro,3.154180,2418,4,2418
deepseek_pro_b019_P2_r1,A,deepseek_pro,3.453604,1229,2,1229
deepseek_pro_b019_P2_r2,A,deepseek_pro,3.222741,1158,2,1158
deepseek_pro_b019_P3_r1,A,deepseek_pro,3.240530,2420,4,2420
deepseek_pro_b019_P3_r2,A,deepseek_pro,3.350613,2721,5,2721
deepseek_pro_b020_P1_r1,A,deepseek_pro,3.208371,1918,3,1918
deepseek_pro_b020_P1_r2,A,deepseek_pro,3.088309,1934,3,1934
deepseek_pro_b020_P2_r1,A,deepseek_pro,3.080515,1093,2,1093
deepseek_pro_b020_P2_r2,A,deepseek_pro,3.151295,1293,2,1293
deepseek_pro_b020_P3_r1,A,deepseek_pro,3.233919,2036,3,2036
deepseek_pro_b020_P3_r2,A,deepseek_pro,3.361039,2547,4,2547
deepseek_pro_b021_P1_r1,A,deepseek_pro,3.175618,1993,3,1993
deepseek_pro_b021_P1_r2,A,deepseek_pro,3.163909,2113,4,2113
deepseek_pro_b021_P2_r1,A,deepseek_pro,3.027178,923,1,923
deepseek_pro_b021_P2_r2,A,deepseek_pro,2.957460,649,1,649
deepseek_pro_b021_P3_r1,A,deepseek_pro,3.226346,2028,3,2028
deepseek_pro_b021_P3_r2,A,deepseek_pro,3.342080,1936,3,1936
deepseek_pro_b022_P1_r1,A,deepseek_pro,3.044507,2461,4,2461
deepseek_pro_b022_P1_r2,A,deepseek_pro,2.921929,1269,2,1269
deepseek_pro_b022_P2_r1,A,deepseek_pro,2.971987,1423,2,1423
deepseek_pro_b022_P2_r2,A,deepseek_pro,3.185152,760,1,760
deepseek_pro_b022_P3_r1,A,deepseek_pro,3.298443,1847,3,1847
deepseek_pro_b022_P3_r2,A,deepseek_pro,3.039849,1992,3,1992
deepseek_pro_b023_P1_r1,A,deepseek_pro,3.041956,2545,4,2545
deepseek_pro_b023_P1_r2,A,deepseek_pro,3.070633,2196,4,2196
deepseek_pro_b023_P2_r1,A,deepseek_pro,2.994861,1033,2,1033
deepseek_pro_b023_P2_r2,A,deepseek_pro,3.068645,1974,3,1974
deepseek_pro_b023_P3_r1,A,deepseek_pro,3.167387,1927,3,1927
deepseek_pro_b023_P3_r2,A,deepseek_pro,3.150515,2467,4,2467
deepseek_pro_b024_P1_r1,A,deepseek_pro,3.357407,1604,3,1604
deepseek_pro_b024_P1_r2,A,deepseek_pro,3.237933,1652,3,1652
deepseek_pro_b024_P2_r1,A,deepseek_pro,3.337770,812,1,812
deepseek_pro_b024_P2_r2,A,deepseek_pro,3.203390,1293,2,1293
deepseek_pro_b024_P3_r1,A,deepseek_pro,3.258240,2372,4,2372
deepseek_pro_b024_P3_r2,A,deepseek_pro,3.224434,2188,4,2188
deepseek_pro_b025_P1_r1,A,deepseek_pro,3.209726,2517,4,2517
deepseek_pro_b025_P1_r2,A,deepseek_pro,3.013507,2422,4,2422
deepseek_pro_b025_P2_r1,A,deepseek_pro,3.095801,1290,2,1290
deepseek_pro_b025_P2_r2,A,deepseek_pro,3.163799,800,1,800
deepseek_pro_b025_P3_r1,A,deepseek_pro,3.102485,2618,5,2618
deepseek_pro_b025_P3_r2,A,deepseek_pro,3.093710,2521,4,2521
deepseek_pro_b026_P1_r1,A,deepseek_pro,2.958166,2945,5,2945
deepseek_pro_b026_P1_r2,A,deepseek_pro,3.019712,575,1,575
deepseek_pro_b026_P2_r1,A,deepseek_pro,3.054877,739,1,739
deepseek_pro_b026_P2_r2,A,deepseek_pro,2.978739,896,1,896
deepseek_pro_b026_P3_r1,A,deepseek_pro,2.924948,2996,5,2996
deepseek_pro_b026_P3_r2,A,deepseek_pro,3.383196,2235,4,2235
deepseek_pro_b027_P1_r1,A,deepseek_pro,3.117743,3263,6,3263
deepseek_pro_b027_P1_r2,A,deepseek_pro,3.176974,1901,3,1901
deepseek_pro_b027_P2_r1,A,deepseek_pro,3.036079,901,1,901
deepseek_pro_b027_P2_r2,A,deepseek_pro,3.019720,2038,3,2038
deepseek_pro_b027_P3_r1,A,deepseek_pro,3.089856,2232,4,2232
deepseek_pro_b027_P3_r2,A,deepseek_pro,3.030868,2468,4,2468
deepseek_pro_b028_P1_r1,A,deepseek_pro,3.141114,914,1,914
deepseek_pro_b028_P1_r2,A,deepseek_pro,3.171332,1637,3,1637
deepseek_pro_b028_P2_r1,A,deepseek_pro,3.300028,867,1,867
deepseek_pro_b028_P2_r2,A,deepseek_pro,3.129972,2061,4,2061
deepseek_pro_b028_P3_r1,A,deepseek_pro,3.325047,1786,3,1786
deepseek_pro_b028_P3_r2,A,deepseek_pro,3.277257,2425,4,2425
deepseek_pro_b029_P1_r1,A,deepseek_pro,3.141878,2780,5,2780
deepseek_pro_b029_P1_r2,A,deepseek_pro,3.127365,2947,5,2947
deepseek_pro_b029_P2_r1,A,deepseek_pro,2.993740,1311,2,1311
deepseek_pro_b029_P2_r2,A,deepseek_pro,3.219929,1347,2,1347
deepseek_pro_b029_P3_r1,A,deepseek_pro,3.177118,2608,5,2608
deepseek_pro_b029_P3_r2,A,deepseek_pro,3.114720,2210,4,2210
deepseek_pro_b030_P1_r1,A,deepseek_pro,3.123108,2423,4,2423
deepseek_pro_b030_P1_r2,A,deepseek_pro,2.999722,2433,4,2433
deepseek_pro_b030_P2_r1,A,deepseek_pro,3.051057,1020,1,1020
deepseek_pro_b030_P2_r2,A,deepseek_pro,3.031919,2821,5,2821
deepseek_pro_b030_P3_r1,A,deepseek_pro,3.039730,2265,4,2265
deepseek_pro_b030_P3_r2,A,deepseek_pro,3.077748,2317,4,2317
deepseek_pro_b031_P1_r1,A,deepseek_pro,2.770752,1143,2,1143
deepseek_pro_b031_P1_r2,A,deepseek_pro,2.958603,2480,4,2480
deepseek_pro_b031_P2_r1,A,deepseek_pro,3.134722,1149,2,1149
deepseek_pro_b031_P2_r2,A,deepseek_pro,2.980119,933,1,933
deepseek_pro_b031_P3_r1,A,deepseek_pro,2.994167,2216,4,2216
deepseek_pro_b031_P3_r2,A,deepseek_pro,2.874393,2324,4,2324
deepseek_pro_b032_P1_r1,A,deepseek_pro,3.192252,2910,5,2910
deepseek_pro_b032_P1_r2,A,deepseek_pro,2.842013,2669,5,2669
deepseek_pro_b032_P2_r1,A,deepseek_pro,3.065111,1482,2,1482
deepseek_pro_b032_P2_r2,A,deepseek_pro,3.182208,980,1,980
deepseek_pro_b032_P3_r1,A,deepseek_pro,3.035232,2448,4,2448
deepseek_pro_b032_P3_r2,A,deepseek_pro,3.062943,2386,4,2386
deepseek_pro_b033_P1_r1,A,deepseek_pro,3.306842,1147,2,1147
deepseek_pro_b033_P1_r2,A,deepseek_pro,3.298483,3026,5,3026
deepseek_pro_b033_P2_r1,A,deepseek_pro,3.146714,673,1,673
deepseek_pro_b033_P2_r2,A,deepseek_pro,3.188370,924,1,924
deepseek_pro_b033_P3_r1,A,deepseek_pro,3.288766,1971,3,1971
deepseek_pro_b033_P3_r2,A,deepseek_pro,3.093349,1840,3,1840
deepseek_pro_b034_P1_r1,A,deepseek_pro,3.081914,2438,4,2438
deepseek_pro_b034_P1_r2,A,deepseek_pro,3.044226,2166,4,2166
deepseek_pro_b034_P2_r1,A,deepseek_pro,3.100259,1567,3,1567
deepseek_pro_b034_P2_r2,A,deepseek_pro,2.988485,1224,2,1224
deepseek_pro_b034_P3_r1,A,deepseek_pro,3.088847,2595,5,2595
deepseek_pro_b034_P3_r2,A,deepseek_pro,3.215655,2194,4,2194
deepseek_pro_b035_P1_r1,A,deepseek_pro,3.209913,896,1,896
deepseek_pro_b035_P1_r2,A,deepseek_pro,3.066042,1209,2,1209
deepseek_pro_b035_P2_r1,A,deepseek_pro,3.030162,2135,4,2135
deepseek_pro_b035_P2_r2,A,deepseek_pro,3.080591,1288,2,1288
deepseek_pro_b035_P3_r1,A,deepseek_pro,2.968355,2483,4,2483
deepseek_pro_b035_P3_r2,A,deepseek_pro,3.269231,2574,5,2574
deepseek_pro_b036_P1_r1,A,deepseek_pro,3.070861,3057,5,3057
deepseek_pro_b036_P1_r2,A,deepseek_pro,3.203147,1490,2,1490
deepseek_pro_b036_P2_r1,A,deepseek_pro,3.122303,1738,3,1738
deepseek_pro_b036_P2_r2,A,deepseek_pro,3.052329,837,1,837
deepseek_pro_b036_P3_r1,A,deepseek_pro,3.084779,2121,4,2121
deepseek_pro_b036_P3_r2,A,deepseek_pro,3.185095,1761,3,1761
deepseek_pro_b037_P1_r1,A,deepseek_pro,3.101609,2820,5,2820
deepseek_pro_b037_P1_r2,A,deepseek_pro,3.064396,1205,2,1205
deepseek_pro_b037_P2_r1,A,deepseek_pro,2.883572,1179,2,1179
deepseek_pro_b037_P2_r2,A,deepseek_pro,3.110237,1224,2,1224
deepseek_pro_b037_P3_r1,A,deepseek_pro,3.064072,2678,5,2678
deepseek_pro_b037_P3_r2,A,deepseek_pro,2.906872,2085,4,2085
deepseek_pro_b038_P1_r1,A,deepseek_pro,3.249713,2689,5,2689
deepseek_pro_b038_P1_r2,A,deepseek_pro,3.184690,2763,5,2763
deepseek_pro_b038_P2_r1,A,deepseek_pro,2.933537,1159,2,1159
deepseek_pro_b038_P2_r2,A,deepseek_pro,3.052566,1006,1,1006
deepseek_pro_b038_P3_r1,A,deepseek_pro,3.017232,1865,3,1865
deepseek_pro_b038_P3_r2,A,deepseek_pro,3.272164,1941,3,1941
deepseek_pro_b039_P1_r1,A,deepseek_pro,3.058388,1533,2,1533
deepseek_pro_b039_P1_r2,A,deepseek_pro,2.943200,2756,5,2756
deepseek_pro_b039_P2_r1,A,deepseek_pro,3.120298,860,1,860
deepseek_pro_b039_P2_r2,A,deepseek_pro,3.116826,1792,3,1792
deepseek_pro_b039_P3_r1,A,deepseek_pro,2.997548,2689,5,2689
deepseek_pro_b039_P3_r2,A,deepseek_pro,3.219447,1543,3,1543
deepseek_pro_b040_P1_r1,A,deepseek_pro,3.241826,2231,4,2231
deepseek_pro_b040_P1_r2,A,deepseek_pro,3.288794,1698,3,1698
deepseek_pro_b040_P2_r1,A,deepseek_pro,3.181076,1961,3,1961
deepseek_pro_b040_P2_r2,A,deepseek_pro,3.514737,1608,3,1608
deepseek_pro_b040_P3_r1,A,deepseek_pro,3.269473,2195,4,2195
deepseek_pro_b040_P3_r2,A,deepseek_pro,3.230602,1993,3,1993
deepseek_pro_b041_P1_r1,A,deepseek_pro,2.975697,2267,4,2267
deepseek_pro_b041_P1_r2,A,deepseek_pro,2.981897,3035,5,3035
deepseek_pro_b041_P2_r1,A,deepseek_pro,3.116532,477,1,477
deepseek_pro_b041_P2_r2,A,deepseek_pro,3.079322,968,1,968
deepseek_pro_b041_P3_r1,A,deepseek_pro,2.913931,2000,3,2000
deepseek_pro_b041_P3_r2,A,deepseek_pro,3.099557,1531,2,1531
deepseek_pro_b042_P1_r1,A,deepseek_pro,3.076739,2838,5,2838
deepseek_pro_b042_P1_r2,A,deepseek_pro,3.089635,2267,4,2267
deepseek_pro_b042_P2_r1,A,deepseek_pro,3.379107,1218,2,1218
deepseek_pro_b042_P2_r2,A,deepseek_pro,3.035223,1029,2,1029
deepseek_pro_b042_P3_r1,A,deepseek_pro,3.108291,1762,3,1762
deepseek_pro_b042_P3_r2,A,deepseek_pro,2.934352,2383,4,2383
deepseek_pro_b043_P1_r1,A,deepseek_pro,2.923279,2518,4,2518
deepseek_pro_b043_P1_r2,A,deepseek_pro,3.062764,3289,6,3289
deepseek_pro_b043_P2_r1,A,deepseek_pro,3.012116,1807,3,1807
deepseek_pro_b043_P2_r2,A,deepseek_pro,3.017341,1674,3,1674
deepseek_pro_b043_P3_r1,A,deepseek_pro,3.387639,2540,4,2540
deepseek_pro_b043_P3_r2,A,deepseek_pro,3.295886,2542,4,2542
deepseek_pro_b044_P1_r1,A,deepseek_pro,3.008225,2151,4,2151
deepseek_pro_b044_P1_r2,A,deepseek_pro,3.178755,2162,4,2162
deepseek_pro_b044_P2_r1,A,deepseek_pro,3.219716,1351,2,1351
deepseek_pro_b044_P2_r2,A,deepseek_pro,3.149733,957,1,957
deepseek_pro_b044_P3_r1,A,deepseek_pro,3.298052,1991,3,1991
deepseek_pro_b044_P3_r2,A,deepseek_pro,3.038527,2125,4,2125
deepseek_pro_b045_P1_r1,A,deepseek_pro,3.258518,3052,5,3052
deepseek_pro_b045_P1_r2,A,deepseek_pro,3.103524,2930,5,2930
deepseek_pro_b045_P2_r1,A,deepseek_pro,3.123770,1211,2,1211
deepseek_pro_b045_P2_r2,A,deepseek_pro,3.077875,1154,2,1154
deepseek_pro_b045_P3_r1,A,deepseek_pro,3.152112,2753,5,2753
deepseek_pro_b045_P3_r2,A,deepseek_pro,3.077212,1992,3,1992
gpt_b001_P1_r1,A,gpt,2.976590,2070,4,2070
gpt_b001_P1_r2,A,gpt,2.751928,2260,4,2260
gpt_b001_P2_r1,A,gpt,3.013022,1607,3,1607
gpt_b001_P2_r2,A,gpt,2.682577,1284,2,1284
gpt_b001_P3_r1,A,gpt,3.261564,1914,3,1914
gpt_b001_P3_r2,A,gpt,2.906777,2263,4,2263
gpt_b002_P1_r1,A,gpt,3.043451,1843,3,1843
gpt_b002_P1_r2,A,gpt,2.950817,2013,3,2013
gpt_b002_P2_r1,A,gpt,3.080635,1165,2,1165
gpt_b002_P2_r2,A,gpt,2.948593,1793,3,1793
gpt_b002_P3_r1,A,gpt,3.218954,1860,3,1860
gpt_b002_P3_r2,A,gpt,2.944294,2612,5,2612
gpt_b003_P1_r1,A,gpt,3.192042,1930,3,1930
gpt_b003_P1_r2,A,gpt,3.081994,1967,3,1967
gpt_b003_P2_r1,A,gpt,3.244526,1361,2,1361
gpt_b003_P2_r2,A,gpt,3.143069,1297,2,1297
gpt_b003_P3_r1,A,gpt,3.347979,1921,3,1921
gpt_b003_P3_r2,A,gpt,3.251506,2310,4,2310
gpt_b004_P1_r1,A,gpt,3.141123,1944,3,1944
gpt_b004_P1_r2,A,gpt,2.835051,2110,4,2110
gpt_b004_P2_r1,A,gpt,3.212435,1362,2,1362
gpt_b004_P2_r2,A,gpt,2.986007,1476,2,1476
gpt_b004_P3_r1,A,gpt,3.241070,1934,3,1934
gpt_b004_P3_r2,A,gpt,3.313172,661,1,661
gpt_b005_P1_r1,A,gpt,3.341782,1870,3,1870
gpt_b005_P1_r2,A,gpt,3.124199,2271,4,2271
gpt_b005_P2_r1,A,gpt,3.318187,1455,2,1455
gpt_b005_P2_r2,A,gpt,3.281884,1619,3,1619
gpt_b005_P3_r1,A,gpt,3.571838,1972,3,1972
gpt_b005_P3_r2,A,gpt,3.562584,2704,5,2704
gpt_b006_P1_r1,A,gpt,3.176062,1881,3,1881
gpt_b006_P1_r2,A,gpt,2.866328,2824,5,2824
gpt_b006_P2_r1,A,gpt,3.145726,1376,2,1376
gpt_b006_P2_r2,A,gpt,3.036987,1324,2,1324
gpt_b006_P3_r1,A,gpt,3.170084,1984,3,1984
gpt_b006_P3_r2,A,gpt,3.183677,2152,4,2152
gpt_b007_P1_r1,A,gpt,3.166086,1797,3,1797
gpt_b007_P1_r2,A,gpt,2.980916,2371,4,2371
gpt_b007_P2_r1,A,gpt,3.166900,1254,2,1254
gpt_b007_P2_r2,A,gpt,2.977572,1358,2,1358
gpt_b007_P3_r1,A,gpt,3.152046,1862,3,1862
gpt_b007_P3_r2,A,gpt,3.078155,1905,3,1905
gpt_b008_P1_r1,A,gpt,2.931482,2372,4,2372
gpt_b008_P1_r2,A,gpt,2.891453,2447,4,2447
gpt_b008_P2_r1,A,gpt,3.045789,1281,2,1281
gpt_b008_P2_r2,A,gpt,3.211441,1069,2,1069
gpt_b008_P3_r1,A,gpt,2.792052,2660,5,2660
gpt_b008_P3_r2,A,gpt,3.101640,2160,4,2160
gpt_b009_P1_r1,A,gpt,3.126327,2670,5,2670
gpt_b009_P1_r2,A,gpt,3.193419,1712,3,1712
gpt_b009_P2_r1,A,gpt,3.117367,1591,3,1591
gpt_b009_P2_r2,A,gpt,3.235333,986,1,986
gpt_b009_P3_r1,A,gpt,3.061675,2942,5,2942
gpt_b009_P3_r2,A,gpt,3.157822,2426,4,2426
gpt_b010_P1_r1,A,gpt,2.951286,2358,4,2358
gpt_b010_P1_r2,A,gpt,2.962684,1735,3,1735
gpt_b010_P2_r1,A,gpt,2.801449,1061,2,1061
gpt_b010_P2_r2,A,gpt,3.032400,1507,2,1507
gpt_b010_P3_r1,A,gpt,3.071096,2398,4,2398
gpt_b010_P3_r2,A,gpt,3.041909,2181,4,2181
gpt_b011_P1_r1,A,gpt,3.057037,2470,4,2470
gpt_b011_P1_r2,A,gpt,3.090706,2126,4,2126
gpt_b011_P2_r1,A,gpt,3.068352,1243,2,1243
gpt_b011_P2_r2,A,gpt,2.946757,1522,2,1522
gpt_b011_P3_r1,A,gpt,3.238530,1734,3,1734
gpt_b011_P3_r2,A,gpt,3.055612,2300,4,2300
gpt_b012_P1_r1,A,gpt,3.122850,3513,6,3513
gpt_b012_P1_r2,A,gpt,3.247954,2987,5,2987
gpt_b012_P2_r1,A,gpt,3.169646,1880,3,1880
gpt_b012_P2_r2,A,gpt,2.999562,1592,3,1592
gpt_b012_P3_r1,A,gpt,3.299628,2844,5,2844
gpt_b012_P3_r2,A,gpt,3.233163,2251,4,2251
gpt_b013_P1_r1,A,gpt,3.119096,2308,4,2308
gpt_b013_P1_r2,A,gpt,3.200490,2657,5,2657
gpt_b013_P2_r1,A,gpt,3.156956,1684,3,1684
gpt_b013_P2_r2,A,gpt,3.179024,1359,2,1359
gpt_b013_P3_r1,A,gpt,3.314692,2933,5,2933
gpt_b013_P3_r2,A,gpt,3.392130,2400,4,2400
gpt_b014_P1_r1,A,gpt,3.106049,2325,4,2325
gpt_b014_P1_r2,A,gpt,2.996607,2292,4,2292
gpt_b014_P2_r1,A,gpt,3.104064,1563,3,1563
gpt_b014_P2_r2,A,gpt,3.092871,1202,2,1202
gpt_b014_P3_r1,A,gpt,3.170738,2284,4,2284
gpt_b014_P3_r2,A,gpt,3.145570,2063,4,2063
gpt_b015_P1_r1,A,gpt,2.838938,2512,4,2512
gpt_b015_P1_r2,A,gpt,2.893932,2661,5,2661
gpt_b015_P2_r1,A,gpt,2.912563,1518,2,1518
gpt_b015_P2_r2,A,gpt,3.030160,1753,3,1753
gpt_b015_P3_r1,A,gpt,2.904805,2945,5,2945
gpt_b015_P3_r2,A,gpt,3.100000,2410,4,2410
gpt_b016_P1_r1,A,gpt,3.175064,2378,4,2378
gpt_b016_P1_r2,A,gpt,3.285921,2264,4,2264
gpt_b016_P2_r1,A,gpt,3.166129,1300,2,1300
gpt_b016_P2_r2,A,gpt,3.184463,1612,3,1612
gpt_b016_P3_r1,A,gpt,3.215723,2134,4,2134
gpt_b016_P3_r2,A,gpt,3.375591,2177,4,2177
gpt_b017_P1_r1,A,gpt,3.131854,2367,4,2367
gpt_b017_P1_r2,A,gpt,3.446121,866,1,866
gpt_b017_P2_r1,A,gpt,3.107236,1729,3,1729
