original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format,weight_common,weight_format,dropped_categories,m02_missing,applied_no_change,input_unchanged
human_news_lenta_0001,1,замена длинных тире,1,H,news,,,49.2150,49.2150,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0,0
human_news_lenta_0016,1,замена длинных тире,1,H,news,,,61.2319,61.2319,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0,0
human_prose_taiga_arzamas_0050,1,замена длинных тире,1,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_arzamas_0051,1,замена длинных тире,1,H,prose,,,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_magazines_0048,1,замена длинных тире,1,H,prose,,,56.5821,55.1329,-1.4493,1.4493,0,18,4,0.5700,0.1200,,0,0,0
human_prose_taiga_magazines_0053,1,замена длинных тире,1,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_prose_taiga_proza_0034,1,замена длинных тире,1,H,prose,,,34.0580,34.0580,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_proza_0056,1,замена длинных тире,1,H,prose,,,37.0169,37.0169,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_cyberleninka_0026,1,замена длинных тире,1,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_cyberleninka_0031,1,замена длинных тире,1,H,science,,,41.1836,41.1836,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_cyberleninka_0032,1,замена длинных тире,1,H,science,,,33.9372,33.9372,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_cyberleninka_0053,1,замена длинных тире,1,H,science,,,46.7995,46.7995,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_spbgu_0024,1,замена длинных тире,1,H,science,,,51.9324,53.6232,1.6908,1.6908,0,18,4,0.5700,0.1200,,0,0,0
human_science_urfu_0028,1,замена длинных тире,1,H,science,,,41.7874,41.7874,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_alaev_0004,1,замена длинных тире,1,H,seo,,,37.8623,37.8623,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_convertmonster_0001,1,замена длинных тире,1,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_devaka_ru_0004,1,замена длинных тире,1,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_drmax_0002,1,замена длинных тире,1,H,seo,,,38.1039,38.1039,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_drmax_su_0001,1,замена длинных тире,1,H,seo,,,29.7101,29.7101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_labrika_0002,1,замена длинных тире,1,H,seo,,,26.1473,30.4952,4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b012_P1_r1,1,замена длинных тире,1,A,seo,P1,nemotron,53.3213,53.3213,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b015_P3_r2,1,замена длинных тире,1,A,seo,P3,nemotron,61.7754,61.7754,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b016_P1_r1,1,замена длинных тире,1,A,analytics,P1,nemotron,52.5362,52.5362,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b022_P3_r2,1,замена длинных тире,1,A,analytics,P3,nemotron,38.8889,38.8889,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b028_P1_r2,1,замена длинных тире,1,A,analytics,P1,nemotron,65.2778,65.2778,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b033_P2_r2,1,замена длинных тире,1,A,commercial,P2,nemotron,61.5942,61.5942,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b038_P1_r2,1,замена длинных тире,1,A,commercial,P1,nemotron,55.1932,55.1932,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b015_P2_r1,1,замена длинных тире,1,A,seo,P2,real_claude,58.5145,58.5145,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b018_P3_r2,1,замена длинных тире,1,A,analytics,P3,real_claude,45.7126,45.7126,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b024_P1_r2,1,замена длинных тире,1,A,analytics,P1,real_claude,53.4420,51.9928,-1.4493,1.4493,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b025_P2_r1,1,замена длинных тире,1,A,analytics,P2,real_claude,46.2560,46.2560,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b034_P2_r2,1,замена длинных тире,1,A,commercial,P2,real_claude,72.8865,72.8865,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b040_P3_r2,1,замена длинных тире,1,A,commercial,P3,real_claude,43.7198,43.7198,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b042_P3_r2,1,замена длинных тире,1,A,commercial,P3,real_claude,29.0459,29.0459,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
real_claude_b045_P3_r1,1,замена длинных тире,1,A,commercial,P3,real_claude,53.5024,53.5024,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b002_P3_r1,2,изменение markdown-разметки,1,A,seo,P3,deepseek_pro,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
deepseek_pro_b004_P2_r1,2,изменение markdown-разметки,1,A,seo,P2,deepseek_pro,63.7681,55.7971,-7.9710,7.9710,1,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b007_P3_r2,2,изменение markdown-разметки,1,A,seo,P3,deepseek_pro,47.5845,45.4106,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b009_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,deepseek_pro,49.1546,46.9807,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b009_P2_r2,2,изменение markdown-разметки,1,A,seo,P2,deepseek_pro,52.5362,50.3623,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b021_P2_r2,2,изменение markdown-разметки,1,A,analytics,P2,deepseek_pro,59.8430,57.6691,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b037_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,deepseek_pro,61.2923,52.1135,-9.1787,9.1787,1,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b038_P1_r2,2,изменение markdown-разметки,1,A,commercial,P1,deepseek_pro,43.0556,40.1570,-2.8986,2.8986,0,18,4,0.5700,0.1200,,0,0,0
gpt_b004_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,gpt,41.5459,41.5459,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b004_P3_r1,2,изменение markdown-разметки,1,A,seo,P3,gpt,35.0242,35.0242,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b021_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,gpt,52.4155,52.4155,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,0
gpt_b026_P1_r1,2,изменение markdown-разметки,1,A,analytics,P1,gpt,61.1715,58.9976,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
gpt_b028_P2_r1,2,изменение markdown-разметки,1,A,analytics,P2,gpt,43.7802,43.7802,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b031_P1_r1,2,изменение markdown-разметки,1,A,commercial,P1,gpt,29.7705,29.7705,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b040_P2_r1,2,изменение markdown-разметки,1,A,commercial,P2,gpt,60.1449,54.7101,-5.4348,5.4348,1,18,4,0.5700,0.1200,,0,0,0
human_hard_rusltc_0001,2,изменение markdown-разметки,1,H,translation,,,43.5990,43.5990,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0002,2,изменение markdown-разметки,1,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0003,2,изменение markdown-разметки,1,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0055,2,изменение markdown-разметки,1,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0068,2,изменение markdown-разметки,1,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_hard_rusltc_0073,2,изменение markdown-разметки,1,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_buriy_2014_0027,2,изменение markdown-разметки,1,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_news_buriy_2014_0034,2,изменение markdown-разметки,1,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_news_gazeta_0031,2,изменение markdown-разметки,1,H,news,,,36.3527,36.3527,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_gazeta_0040,2,изменение markdown-разметки,1,H,news,,,28.0193,28.0193,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_lenta_0001,2,изменение markdown-разметки,1,H,news,,,49.2150,49.2150,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_lenta_0016,2,изменение markdown-разметки,1,H,news,,,61.2319,61.2319,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_prose_taiga_arzamas_0050,2,изменение markdown-разметки,1,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_arzamas_0051,2,изменение markdown-разметки,1,H,prose,,,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_magazines_0048,2,изменение markdown-разметки,1,H,prose,,,56.5821,56.5821,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_magazines_0053,2,изменение markdown-разметки,1,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_proza_0034,2,изменение markdown-разметки,1,H,prose,,,34.0580,34.0580,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_proza_0056,2,изменение markdown-разметки,1,H,prose,,,37.0169,37.0169,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0026,2,изменение markdown-разметки,1,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0031,2,изменение markdown-разметки,1,H,science,,,41.1836,41.1836,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0032,2,изменение markdown-разметки,1,H,science,,,33.9372,33.9372,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0053,2,изменение markdown-разметки,1,H,science,,,46.7995,46.7995,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_science_spbgu_0024,2,изменение markdown-разметки,1,H,science,,,51.9324,51.9324,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_urfu_0028,2,изменение markdown-разметки,1,H,science,,,41.7874,41.7874,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_seo_alaev_0004,2,изменение markdown-разметки,1,H,seo,,,37.8623,37.8623,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_convertmonster_0001,2,изменение markdown-разметки,1,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_devaka_ru_0004,2,изменение markdown-разметки,1,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_drmax_0002,2,изменение markdown-разметки,1,H,seo,,,38.1039,38.1039,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_drmax_su_0001,2,изменение markdown-разметки,1,H,seo,,,29.7101,29.7101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_labrika_0002,2,изменение markdown-разметки,1,H,seo,,,26.1473,26.1473,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
nemotron_b012_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,nemotron,53.3213,48.9734,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b015_P3_r2,2,изменение markdown-разметки,1,A,seo,P3,nemotron,61.7754,61.0507,-0.7246,0.7246,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b016_P1_r1,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,52.5362,49.6377,-2.8986,2.8986,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b022_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,nemotron,38.8889,36.7150,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
nemotron_b028_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,65.2778,60.9300,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0,0
nemotron_b033_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,nemotron,61.5942,54.7101,-6.8841,6.8841,1,18,4,0.5700,0.1200,,0,0,0
nemotron_b038_P1_r2,2,изменение markdown-разметки,1,A,commercial,P1,nemotron,55.1932,50.8454,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b015_P2_r1,2,изменение markdown-разметки,1,A,seo,P2,real_claude,58.5145,54.1667,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b018_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,real_claude,45.7126,43.5386,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b024_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,real_claude,53.4420,49.0942,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b025_P2_r1,2,изменение markdown-разметки,1,A,analytics,P2,real_claude,46.2560,41.9082,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b034_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,real_claude,72.8865,70.7126,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b040_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,43.7198,41.5459,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b042_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,29.0459,26.8720,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
real_claude_b045_P3_r1,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,53.5024,51.3285,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b002_P3_r1,3,удаление заголовков,0,A,seo,P3,deepseek_pro,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
deepseek_pro_b004_P2_r1,3,удаление заголовков,0,A,seo,P2,deepseek_pro,63.7681,61.5942,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b007_P3_r2,3,удаление заголовков,0,A,seo,P3,deepseek_pro,47.5845,45.4106,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b009_P1_r1,3,удаление заголовков,0,A,seo,P1,deepseek_pro,49.1546,46.9807,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b009_P2_r2,3,удаление заголовков,0,A,seo,P2,deepseek_pro,52.5362,48.1884,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b021_P2_r2,3,удаление заголовков,0,A,analytics,P2,deepseek_pro,59.8430,55.4952,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b037_P2_r2,3,удаление заголовков,0,A,commercial,P2,deepseek_pro,61.2923,59.1184,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
deepseek_pro_b038_P1_r2,3,удаление заголовков,0,A,commercial,P1,deepseek_pro,43.0556,43.5990,0.5435,0.5435,0,18,4,0.5700,0.1200,,0,1,0
gpt_b004_P1_r1,3,удаление заголовков,0,A,seo,P1,gpt,41.5459,41.5459,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b004_P3_r1,3,удаление заголовков,0,A,seo,P3,gpt,35.0242,35.0242,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b021_P3_r2,3,удаление заголовков,0,A,analytics,P3,gpt,52.4155,52.4155,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b026_P1_r1,3,удаление заголовков,0,A,analytics,P1,gpt,61.1715,61.1715,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
gpt_b028_P2_r1,3,удаление заголовков,0,A,analytics,P2,gpt,43.7802,41.6063,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
gpt_b031_P1_r1,3,удаление заголовков,0,A,commercial,P1,gpt,29.7705,27.5966,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
gpt_b040_P2_r1,3,удаление заголовков,0,A,commercial,P2,gpt,60.1449,57.9710,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
human_hard_rusltc_0001,3,удаление заголовков,0,H,translation,,,43.5990,43.5990,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0002,3,удаление заголовков,0,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0003,3,удаление заголовков,0,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0055,3,удаление заголовков,0,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0068,3,удаление заголовков,0,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_hard_rusltc_0073,3,удаление заголовков,0,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_buriy_2014_0027,3,удаление заголовков,0,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_news_buriy_2014_0034,3,удаление заголовков,0,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_news_gazeta_0031,3,удаление заголовков,0,H,news,,,36.3527,36.3527,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_gazeta_0040,3,удаление заголовков,0,H,news,,,28.0193,28.0193,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_lenta_0001,3,удаление заголовков,0,H,news,,,49.2150,49.2150,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_lenta_0016,3,удаление заголовков,0,H,news,,,61.2319,61.2319,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_prose_taiga_arzamas_0050,3,удаление заголовков,0,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_arzamas_0051,3,удаление заголовков,0,H,prose,,,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_magazines_0048,3,удаление заголовков,0,H,prose,,,56.5821,56.5821,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_magazines_0053,3,удаление заголовков,0,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_proza_0034,3,удаление заголовков,0,H,prose,,,34.0580,34.0580,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_prose_taiga_proza_0056,3,удаление заголовков,0,H,prose,,,37.0169,37.0169,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0026,3,удаление заголовков,0,H,science,,,35.0845,35.0845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0031,3,удаление заголовков,0,H,science,,,41.1836,41.1836,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0032,3,удаление заголовков,0,H,science,,,33.9372,33.9372,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_cyberleninka_0053,3,удаление заголовков,0,H,science,,,46.7995,46.7995,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_spbgu_0024,3,удаление заголовков,0,H,science,,,51.9324,51.9324,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_science_urfu_0028,3,удаление заголовков,0,H,science,,,41.7874,41.7874,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_alaev_0004,3,удаление заголовков,0,H,seo,,,37.8623,37.8623,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_convertmonster_0001,3,удаление заголовков,0,H,seo,,,28.3816,28.3816,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_devaka_ru_0004,3,удаление заголовков,0,H,seo,,,36.9565,36.9565,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_drmax_0002,3,удаление заголовков,0,H,seo,,,38.1039,38.1039,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_drmax_su_0001,3,удаление заголовков,0,H,seo,,,29.7101,29.7101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_seo_labrika_0002,3,удаление заголовков,0,H,seo,,,26.1473,26.1473,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
nemotron_b012_P1_r1,3,удаление заголовков,0,A,seo,P1,nemotron,53.3213,48.9734,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
nemotron_b015_P3_r2,3,удаление заголовков,0,A,seo,P3,nemotron,61.7754,61.7754,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
nemotron_b016_P1_r1,3,удаление заголовков,0,A,analytics,P1,nemotron,52.5362,52.5362,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,0
nemotron_b022_P3_r2,3,удаление заголовков,0,A,analytics,P3,nemotron,38.8889,36.7150,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,1,0
nemotron_b028_P1_r2,3,удаление заголовков,0,A,analytics,P1,nemotron,65.2778,60.9300,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,1,0
