case_id,document_id,error_class,model_or_procedure,predicted,actual,triggered_features,alternative_explanation,genre_norm,prompt_effect,length_effect,source_artifact,real_editorial_problem,conclusion,reviewed_by,reviewed_at
FP-018,human_news_lenta_0009,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +23.77; C01 -18.12; S01 -5.67; L02 -4.64; L04 +2.92,,"news, уровень 1",н/п,"973 слов, терциль: короткие",lenta,,pending,,
FP-019,human_seo_seopulses_ru_0004,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +19.11; M01 -13.65; L02 -8.49; L04 +5.03; L01 +3.24,,"seo, уровень 2",н/п,"767 слов, терциль: короткие",seopulses_ru,,pending,,
FP-020,human_seo_labrika_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +12.19; M01 -7.62; L02 -3.44; R06 -2.03; S02 -1.80,,"seo, уровень 2",н/п,"2408 слов, терциль: длинные",labrika,,pending,,
FP-021,human_prose_taiga_magazines_0014,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,C01 -0.87; R06 -0.62; F01 -0.43; L01 +0.40; L02 +0.27,,"prose, уровень 0",н/п,"1420 слов, терциль: средние",taiga_magazines,,pending,,
FP-022,human_seo_optimizatorsha_ru_0002,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +5.08; L02 -2.19; R06 -2.03; L04 -1.86; D05 -1.40,,"seo, уровень 2",н/п,"1110 слов, терциль: средние",optimizatorsha_ru,,pending,,
FP-023,human_seo_seoprofy_ua_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +7.61; M01 -5.12; L02 -5.09; L04 +3.74; L01 +2.07,,"seo, уровень 2",н/п,"4061 слов, терциль: длинные",seoprofy_ua,,pending,,
FP-024,human_seo_shakin_0017,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.26; R06 -2.03; M01 -1.56; F01 -1.36; C02 -1.28,,"seo, уровень 2",н/п,"1651 слов, терциль: средние",shakin,,pending,,
FP-025,human_seo_shakin_ru_0002,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C01 -5.09; M01 +4.40; L02 -4.37; L04 -2.64; P01 +2.64,,"seo, уровень 2",н/п,"1116 слов, терциль: средние",shakin_ru,,pending,,
FP-026,human_seo_author_archive_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L02 -5.54; L01 +2.25; L04 +2.18; R06 -2.03; F01 -1.36,,"seo, уровень 2",н/п,"792 слов, терциль: короткие",author_archive,,pending,,
FP-027,human_science_cyberleninka_0032,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +22.93; L02 -6.41; S01 -5.59; L04 +5.22; M01 -3.13,,"science, уровень 3",н/п,"1188 слов, терциль: средние",cyberleninka,,pending,,
FP-028,human_science_urfu_0039,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +40.64; L02 -16.18; L04 +13.67; M01 -8.22; S01 -5.15,,"science, уровень 3",н/п,"4887 слов, терциль: длинные",urfu,,pending,,
FP-029,human_science_spbgu_0025,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +25.79; M01 -10.54; L02 -6.72; L04 +6.32; L01 +2.68,,"science, уровень 3",н/п,"2868 слов, терциль: длинные",spbgu,,pending,,
FP-030,human_hard_rusltc_0016,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +5.88; L04 +5.49; C01 -3.93; M01 -3.39; S01 -2.38,,"translation, уровень не задан",н/п,"2865 слов, терциль: длинные",rusltc,,pending,,
FP-031,human_seo_sosnovskij_0019,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +3.26; L04 +3.07; R06 -2.03; D05 -1.62; C01 -1.61,,"seo, уровень 2",н/п,"2553 слов, терциль: длинные",sosnovskij,,pending,,
FP-032,human_seo_devaka_ru_0006,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +59.53; L02 -13.16; S02 -9.00; R01 -9.00; S01 -4.30,,"seo, уровень 2",н/п,"4035 слов, терциль: длинные",devaka_ru,,pending,,
FP-033,human_seo_madcats_0010,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +8.76; M01 -3.48; R06 -2.03; C01 +1.73; F01 -1.36,,"seo, уровень 2",н/п,"1286 слов, терциль: средние",madcats,,pending,,
FP-034,human_seo_sosnovskij_ru_0002,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.11; R06 -2.03; C02 +1.99; S01 +1.50; F01 -1.36,,"seo, уровень 2",н/п,"1823 слов, терциль: средние",sosnovskij_ru,,pending,,
FP-035,human_prose_taiga_arzamas_0023,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,L01 +0.88; C01 -0.86; R06 -0.62; L02 +0.47; F01 -0.43,,"prose, уровень 0",н/п,"1063 слов, терциль: средние",taiga_arzamas,,pending,,
FP-036,human_seo_drmax_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +5.46; L04 +3.55; L02 -3.49; M01 -3.02; R06 -2.03,"артефакт источника: доля повторяющихся предложений 0.726, у источника drmax поражено 95.7% документов; стиль текста разговорный и живой","seo, уровень 2",н/п,"3819 слов, терциль: длинные",drmax,нет,тот же дефект извлечения что у lenta: случай снимается как свидетельство,ассистент,2026-07-29
FP-037,human_news_gazeta_0008,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +7.51; C01 -4.58; R06 -2.03; F01 -1.36; L02 -1.29,,"news, уровень 1",н/п,"877 слов, терциль: короткие",gazeta,,pending,,
FP-038,human_seo_texterra_ru_0011,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +7.74; M01 -5.99; L02 -3.64; L04 +2.64; R06 -2.03,,"seo, уровень 2",н/п,"1248 слов, терциль: средние",texterra_ru,,pending,,
FP-039,human_prose_taiga_proza_0028,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,C01 -1.64; L01 +0.68; R06 -0.62; L05 +0.51; L02 +0.49,,"prose, уровень 0",н/п,"1416 слов, терциль: средние",taiga_proza,,pending,,
FP-040,human_news_buriy_2014_0006,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +17.57; C01 -11.35; L04 -2.09; R06 -2.03; F01 -1.36,,"news, уровень 1",н/п,"1455 слов, терциль: средние",buriy_2014,,pending,,
FP-041,human_seo_drmax_su_0006,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +6.76; L02 -5.70; M01 -4.85; C02 +2.89; L01 +2.48,,"seo, уровень 2",н/п,"3652 слов, терциль: длинные",drmax_su,,pending,,
FP-042,human_seo_madcats_ru_0005,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C01 +2.66; R06 -2.03; S01 +1.97; L02 -1.81; C02 -1.68,,"seo, уровень 2",н/п,"1505 слов, терциль: средние",madcats_ru,,pending,,
FP-043,human_seo_seopulses_0006,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +4.97; L02 -3.47; C01 -3.13; R06 -2.03; L01 +1.97,,"seo, уровень 2",н/п,"1126 слов, терциль: средние",seopulses,,pending,,
FP-044,human_news_lenta_0040,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,C01 -0.88; R06 -0.62; L05 +0.58; D04 -0.51; F01 -0.43,,"news, уровень 1",н/п,"988 слов, терциль: короткие",lenta,,pending,,
FP-045,human_seo_seopulses_ru_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.88; C02 +3.39; L02 -2.99; R06 -2.03; L01 +1.91,,"seo, уровень 2",н/п,"800 слов, терциль: короткие",seopulses_ru,,pending,,
FP-046,human_seo_labrika_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C01 -5.84; L04 +2.56; R06 -2.03; S01 -1.68; F01 -1.36,,"seo, уровень 2",н/п,"1372 слов, терциль: средние",labrika,,pending,,
FP-047,human_prose_taiga_magazines_0042,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,R06 -0.62; D04 +0.50; F01 -0.43; C01 -0.37; L05 -0.28,,"prose, уровень 0",н/п,"1905 слов, терциль: средние",taiga_magazines,,pending,,
FP-048,human_science_cyberleninka_0035,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +19.92; L04 +5.99; L02 -3.59; C01 -3.00; M01 -2.57,,"science, уровень 3",н/п,"1293 слов, терциль: средние",cyberleninka,,pending,,
FP-049,human_science_urfu_0041,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +34.97; L02 -12.87; L04 +5.48; M01 -5.36; S02 -3.41,,"science, уровень 3",н/п,"4364 слов, терциль: длинные",urfu,,pending,,
FP-050,human_science_spbgu_0039,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +18.57; L04 +6.55; M01 -3.57; L02 -3.17; R06 -2.03,,"science, уровень 3",н/п,"3591 слов, терциль: длинные",spbgu,,pending,,
FN-001,deepseek_pro_b003_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; D04 -2.13; R07 -2.07; C01 +1.86,,"seo, уровень не задан",P3,"1216 слов, терциль: средние",deepseek_pro,,pending,,
FN-002,nemotron_b021_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -1.22; C01 -1.20; R06 -1.04; C02 -1.00; M01 -0.89,"режим P3 запрещает заголовки и списки, структурные признаки R06 и F01 уходят в минус; текст несёт конкретику и опечатки","analytics, уровень не задан",P3,"1382 слов, терциль: средние",nemotron,нет,порог и признак не ошибочны: задание сняло черты на которых держится решение,ассистент,2026-07-29
FN-003,gpt_b004_P3_r2,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,L02 -6.38; M01 -4.22; L01 +2.45; R06 -2.03; C01 +1.55,,"seo, уровень не задан",P3,"405 слов, терциль: короткие",gpt,,pending,,
FN-004,gpt_b001_P1_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.22; R06 -0.85; L04 +0.82; M01 -0.77; L02 -0.65,,"seo, уровень не задан",P1,"1371 слов, терциль: средние",gpt,,pending,,
FN-005,nemotron_b020_P1_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,F01 +1.56; C02 -1.12; S06 -1.06; M01 -0.92; R06 +0.83,,"analytics, уровень не задан",P1,"2219 слов, терциль: длинные",nemotron,,pending,,
FN-006,deepseek_pro_b036_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_commercial",человек,машина,F01 -2.27; D05 -2.20; C01 +1.85; L05 -1.77; R06 -1.56,,"commercial, уровень не задан",P3,"1425 слов, терциль: средние",deepseek_pro,,pending,,
FN-007,nemotron_b015_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -2.75; C01 -1.77; R06 -1.04; M01 -0.56; L04 -0.46,,"seo, уровень не задан",P3,"2177 слов, терциль: длинные",nemotron,,pending,,
FN-008,gpt_b002_P3_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.22; R06 -0.87; C01 -0.66; L04 +0.54; D05 +0.54,"тот же механизм что у FN-001 на другом канале: рубрикации нет, оценка 0.505 на границе","seo, уровень не задан",P3,"1437 слов, терциль: средние",gpt,нет,порог и признак не ошибочны: эффект режима задания а не свойство канала,ассистент,2026-07-29
FN-009,gpt_b002_P1_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.13; R06 -1.12; L02 -0.62; D05 +0.54; L04 +0.52,,"seo, уровень не задан",P1,"1320 слов, терциль: средние",gpt,,pending,,
FN-010,nemotron_b023_P1_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,F01 +1.79; C02 -1.22; L04 -1.08; S06 -0.65; D05 -0.61,,"analytics, уровень не задан",P1,"2408 слов, терциль: длинные",nemotron,,pending,,
FN-011,deepseek_pro_b014_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,L04 -3.33; R06 -2.95; L01 -2.92; F01 -2.26; L02 +2.13,,"seo, уровень не задан",P3,"920 слов, терциль: короткие",deepseek_pro,,pending,,
FN-012,nemotron_b026_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,L04 -3.29; R06 -2.95; S06 -1.76; F01 -1.74; C01 +1.54,,"analytics, уровень не задан",P3,"1313 слов, терциль: средние",nemotron,,pending,,
FN-013,gpt_b003_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.22; D04 -3.19; L04 +3.10; R06 -2.95; R07 -2.07,,"seo, уровень не задан",P3,"1349 слов, терциль: средние",gpt,,pending,,
FN-014,deepseek_pro_b001_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,M01 -5.01; L02 -2.66; R06 -2.03; C02 -1.80; S01 +1.70,,"seo, уровень не задан",P3,"1306 слов, терциль: средние",deepseek_pro,,pending,,
FN-015,nemotron_b043_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,L01 -1.65; S06 -1.22; R06 -1.04; L02 +0.91; L04 -0.91,,"commercial, уровень не задан",P3,"1352 слов, терциль: средние",nemotron,,pending,,
FN-016,gpt_b010_P3_r1,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.14; R06 -1.12; L02 -0.57; D05 +0.54; L04 +0.51,,"seo, уровень не задан",P3,"1447 слов, терциль: средние",gpt,,pending,,
FN-017,deepseek_pro_b016_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; R07 -1.44; L02 +0.84; S06 +0.73,,"analytics, уровень не задан",P3,"1380 слов, терциль: средние",deepseek_pro,,pending,,
FN-018,nemotron_b015_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -2.08; F01 +1.91; C01 -1.80; R06 -1.04; L04 -0.75,,"seo, уровень не задан",P3,"2766 слов, терциль: длинные",nemotron,,pending,,
FN-019,gpt_b001_P3_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,R06 -1.12; L02 -0.78; L04 +0.57; D05 +0.54; D04 -0.39,,"seo, уровень не задан",P3,"1531 слов, терциль: средние",gpt,,pending,,
FN-020,deepseek_pro_b015_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; S06 -3.27; R07 -2.07; C01 +1.17; L04 +1.08,,"seo, уровень не задан",P3,"1876 слов, терциль: средние",deepseek_pro,,pending,,
FN-021,nemotron_b035_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C01 -1.85; S06 -0.65; D04 +0.62; F01 +0.59; D05 -0.56,,"commercial, уровень не задан",P3,"2546 слов, терциль: длинные",nemotron,,pending,,
FN-022,gpt_b023_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_analytics",человек,машина,F01 -2.23; R06 -1.22; C01 +1.20; D05 -1.02; L04 +0.90,,"analytics, уровень не задан",P3,"1392 слов, терциль: средние",gpt,,pending,,
FN-023,deepseek_pro_b013_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; C01 +2.26; R07 -2.07; D04 -1.63,,"seo, уровень не задан",P3,"1235 слов, терциль: средние",deepseek_pro,,pending,,
FN-024,nemotron_b019_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,C02 -3.02; L01 -2.28; L04 -1.51; R07 -1.28; L02 +1.08,,"analytics, уровень не задан",P3,"1540 слов, терциль: средние",nemotron,,pending,,
FN-025,deepseek_pro_b009_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; R07 -2.07; C01 +1.92; L01 +1.25,,"seo, уровень не задан",P3,"882 слов, терциль: короткие",deepseek_pro,,pending,,
FN-026,nemotron_b019_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C02 -1.24; D04 -0.75; L04 -0.74; S02 -0.70; R01 -0.70,,"analytics, уровень не задан",P3,"1514 слов, терциль: средние",nemotron,,pending,,
FN-027,deepseek_pro_b016_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; R07 -2.07; L04 +1.75; C01 +1.07,,"analytics, уровень не задан",P3,"1422 слов, терциль: средние",deepseek_pro,,pending,,
FN-028,nemotron_b028_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -3.27; C02 -0.91; C01 -0.64; L04 -0.51; R06 +0.47,,"analytics, уровень не задан",P3,"1984 слов, терциль: средние",nemotron,,pending,,
FN-029,deepseek_pro_b029_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.95; R07 -2.07; F01 -1.96; C01 +1.46; S06 +0.98,,"analytics, уровень не задан",P3,"1488 слов, терциль: средние",deepseek_pro,,pending,,
FN-030,nemotron_b041_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,D04 +3.68; F01 -3.52; R06 -2.95; L01 -2.61; L04 -2.57,,"commercial, уровень не задан",P3,"878 слов, терциль: короткие",nemotron,,pending,,
FN-031,deepseek_pro_b010_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.95; F01 -2.26; R07 -2.07; C01 +1.73; L05 -0.86,,"seo, уровень не задан",P3,"1228 слов, терциль: средние",deepseek_pro,,pending,,
FN-032,nemotron_b003_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,F01 +1.51; C02 -1.42; S06 -1.33; M01 -0.99; L05 -0.99,,"seo, уровень не задан",P3,"2573 слов, терциль: длинные",nemotron,,pending,,
FN-033,deepseek_pro_b001_P3_r2,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,C01 -3.77; M01 -2.88; L04 +2.87; L02 -2.04; R06 -2.03,,"seo, уровень не задан",P3,"1392 слов, терциль: средние",deepseek_pro,,pending,,
FN-034,nemotron_b033_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,M01 +1.22; R06 -1.04; S06 -1.00; L01 -0.98; L04 -0.83,,"commercial, уровень не задан",P3,"1032 слов, терциль: короткие",nemotron,,pending,,
FN-035,deepseek_pro_b022_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.95; D04 -2.42; R07 -2.07; L05 +1.96; C01 +1.92,,"analytics, уровень не задан",P3,"1097 слов, терциль: средние",deepseek_pro,,pending,,
FN-036,nemotron_b035_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C01 -1.44; R06 -1.04; D04 +0.94; L05 -0.71; C02 -0.57,,"commercial, уровень не задан",P3,"2270 слов, терциль: длинные",nemotron,,pending,,
FN-037,deepseek_pro_b029_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.52; R06 -2.95; C01 +2.18; R07 -2.07; L02 -1.48,,"analytics, уровень не задан",P3,"1734 слов, терциль: средние",deepseek_pro,,pending,,
FN-038,nemotron_b021_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C02 -2.14; C01 -1.72; F01 +0.93; F04 +0.74; L02 -0.63,,"analytics, уровень не задан",P3,"1836 слов, терциль: средние",nemotron,,pending,,
FN-039,deepseek_pro_b010_P3_r1,FN,"proc2 clf-v1 main/full, holdout_model_DeepSeek",человек,машина,R06 -0.59; F01 -0.43; M01 +0.29; R07 -0.26; P01 -0.25,,"seo, уровень не задан",P3,"1057 слов, терциль: средние",deepseek_pro,,pending,,
FN-040,nemotron_b037_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.95; L05 +1.50; R07 -1.41; L01 -1.38; L04 -1.23,,"commercial, уровень не задан",P3,"1826 слов, терциль: средние",nemotron,,pending,,
DIS-001,human_seo_devaka_ru_0006,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.19; proc2 0.99; proc3 1.00; proc4 0.00,H,размах перцентилей 1.00,,"seo, уровень 2",н/п,"4035 слов, терциль: длинные",devaka_ru,,pending,,
DIS-002,human_news_lenta_0039,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.00; proc2 0.00; proc3 1.00; proc4 0.26,H,размах перцентилей 1.00,,"news, уровень 1",н/п,"791 слов, терциль: короткие",lenta,,pending,,
DIS-003,human_news_lenta_0010,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.09; proc2 0.00; proc3 1.00; proc4 0.93,H,размах перцентилей 1.00,,"news, уровень 1",н/п,"1009 слов, терциль: короткие",lenta,,pending,,
DIS-004,human_science_urfu_0038,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.53; proc2 0.00; proc3 0.81; proc4 1.00,H,размах перцентилей 1.00,,"science, уровень 3",н/п,"4569 слов, терциль: длинные",urfu,,pending,,
DIS-005,human_science_urfu_0046,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.90; proc2 0.01; proc3 1.00; proc4 1.00,H,размах перцентилей 0.99,,"science, уровень 3",н/п,"4315 слов, терциль: длинные",urfu,,pending,,
DIS-006,human_seo_alaev_0021,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.17; proc2 0.01; proc3 1.00; proc4 0.32,H,размах перцентилей 0.99,,"seo, уровень 2",н/п,"1789 слов, терциль: средние",alaev,,pending,,
DIS-007,human_prose_taiga_magazines_0050,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.15; proc2 0.00; proc3 0.99; proc4 0.89,H,размах перцентилей 0.99,,"prose, уровень 0",н/п,"1496 слов, терциль: средние",taiga_magazines,,pending,,
DIS-008,real_claude_b017_P3_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.31; proc2 0.62; proc3 0.01; proc4 1.00,A,размах перцентилей 0.99,,"analytics, уровень не задан",P3,"1408 слов, терциль: средние",real_claude,,pending,,
DIS-009,human_news_lenta_0007,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.01; proc2 0.00; proc3 0.99; proc4 0.92,H,размах перцентилей 0.99,,"news, уровень 1",н/п,"1058 слов, терциль: средние",lenta,,pending,,
DIS-010,real_claude_b015_P1_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.73; proc2 1.00; proc3 0.48; proc4 0.01,A,размах перцентилей 0.99,,"seo, уровень не задан",P1,"1793 слов, терциль: средние",real_claude,,pending,,
DIS-011,real_claude_b014_P1_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.83; proc3 0.30; proc4 0.01,A,размах перцентилей 0.99,,"seo, уровень не задан",P1,"1724 слов, терциль: средние",real_claude,,pending,,
