case_id,document_id,error_class,model_or_procedure,predicted,actual,triggered_features,alternative_explanation,genre_norm,prompt_effect,length_effect,source_artifact,real_editorial_problem,conclusion,reviewed_by,reviewed_at
FP-011,human_seo_devaka_ru_0007,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.59; M01 -1.21; L02 -0.86; C02 +0.77; L05 -0.64,,"seo, уровень 2",н/п,"2304 слов, терциль: длинные",devaka_ru,,pending,,
FP-012,human_seo_drmax_su_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.73; M01 -1.04; L02 -0.85; S08 +0.82; R06 -0.55,,"seo, уровень 2",н/п,"2361 слов, терциль: длинные",drmax_su,,pending,,
FP-013,human_news_buriy_2014_0017,FP,"proc2 clf-v1 main/full, holdout_genre_commercial",машина,человек,L05 +2.34; F01 -2.34; C01 -1.93; R06 -1.59; L02 +1.23,,"news, уровень 1",н/п,"1180 слов, терциль: средние",buriy_2014,,pending,,
FP-014,human_seo_madcats_0029,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; F01 -0.34; L02 -0.22; C01 +0.19; L05 -0.18,,"seo, уровень 2",н/п,"1389 слов, терциль: средние",madcats,,pending,,
FP-015,human_seo_labrika_0002,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.58; M01 -1.21; S08 +0.99; L02 -0.80; C01 -0.63,,"seo, уровень 2",н/п,"2611 слов, терциль: длинные",labrika,,pending,,
FP-016,human_prose_taiga_magazines_0014,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; C01 -2.61,,"prose, уровень 0",н/п,"1420 слов, терциль: средние",taiga_magazines,,pending,,
FP-017,human_seo_madcats_ru_0004,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; L04 +0.49; F01 -0.34; L05 -0.25; M01 -0.24,,"seo, уровень 2",н/п,"2426 слов, терциль: длинные",madcats_ru,,pending,,
FP-018,human_seo_sosnovskij_ru_0004,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; L05 -0.54; L04 +0.53; F01 -0.34; D04 -0.19,,"seo, уровень 2",н/п,"1537 слов, терциль: средние",sosnovskij_ru,,pending,,
FP-019,human_science_spbgu_0039,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +0.94; L04 +0.92; L05 -0.65; R06 -0.55; M01 -0.53,,"science, уровень 3",н/п,"3591 слов, терциль: длинные",spbgu,,pending,,
FP-020,human_news_lenta_0033,FP,"proc2 clf-v1 main/full, holdout_author",машина,человек,L04 +3.38; R06 -1.08; D04 -0.88; S08 -0.85; C02 -0.78,,"news, уровень 1",н/п,"770 слов, терциль: короткие",lenta,,pending,,
FP-021,human_science_cyberleninka_0024,FP,"proc2 clf-v1 main/full, holdout_genre_commercial",машина,человек,L05 +2.47; F01 -2.34; M01 -1.82; R06 -1.59; C01 +1.19,,"science, уровень 3",н/п,"2305 слов, терциль: длинные",cyberleninka,,pending,,
FP-022,human_hard_rusltc_0043,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; S01 +2.04,,"translation, уровень не задан",н/п,"730 слов, терциль: короткие",rusltc,,pending,,
FP-023,human_seo_drmax_0008,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.25; S08 +0.64; L05 -0.61; R06 -0.55; C01 -0.45,,"seo, уровень 2",н/п,"877 слов, терциль: короткие",drmax,,pending,,
FP-024,human_prose_taiga_arzamas_0017,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; L05 +1.22,,"prose, уровень 0",н/п,"1456 слов, терциль: средние",taiga_arzamas,,pending,,
FP-025,human_news_gazeta_0052,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; C01 -4.19; R07 -3.60; R06 -3.29,,"news, уровень 1",н/п,"972 слов, терциль: короткие",gazeta,,pending,,
FP-026,human_seo_sosnovskij_0034,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; S06 -0.37; C01 +0.35; F01 -0.34; L02 +0.32,,"seo, уровень 2",н/п,"3907 слов, терциль: длинные",sosnovskij,,pending,,
FP-027,human_seo_texterra_ru_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; L02 -0.47; L04 +0.38; F01 -0.34; M01 -0.31,,"seo, уровень 2",н/п,"906 слов, терциль: короткие",texterra_ru,,pending,,
FP-028,human_science_urfu_0007,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.43; C01 -3.61; R07 -3.34; R06 -3.29,,"science, уровень 3",н/п,"4894 слов, терциль: длинные",urfu,,pending,,
FP-029,human_prose_taiga_proza_0028,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; R07 +5.59; C01 -4.91; P01 -3.57; R06 -3.29,,"prose, уровень 0",н/п,"1416 слов, терциль: средние",taiga_proza,,pending,,
FP-030,human_seo_devaka_ru_0005,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.43; M01 -0.95; L05 -0.81; S08 +0.75; R06 -0.55,,"seo, уровень 2",н/п,"3092 слов, терциль: длинные",devaka_ru,,pending,,
FP-031,human_seo_drmax_su_0006,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +0.95; L02 -0.73; M01 -0.72; R06 -0.55; F01 -0.34,,"seo, уровень 2",н/п,"3652 слов, терциль: длинные",drmax_su,,pending,,
FP-032,human_news_buriy_2014_0051,FP,"proc2 clf-v1 main/full, holdout_author",машина,человек,R06 -1.08; F01 -0.72; S06 +0.70; L05 +0.70; L02 -0.66,,"news, уровень 1",н/п,"916 слов, терциль: короткие",buriy_2014,,pending,,
FP-033,human_seo_madcats_0025,FP,"proc2 clf-v1 main/full, holdout_author",машина,человек,R06 -1.08; C01 +0.73; F01 -0.72; M01 -0.45; L02 -0.44,,"seo, уровень 2",н/п,"1115 слов, терциль: средние",madcats,,pending,,
FP-034,human_seo_labrika_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C01 -0.83; R06 -0.55; L04 +0.36; F01 -0.34; S02 +0.25,,"seo, уровень 2",н/п,"1372 слов, терциль: средние",labrika,,pending,,
FP-035,human_prose_taiga_magazines_0042,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.56; R07 -3.60; R06 -3.29; D04 +2.07,,"prose, уровень 0",н/п,"1905 слов, терциль: средние",taiga_magazines,,pending,,
FP-036,human_news_lenta_0030,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.88; C01 -2.40; S08 +1.29; R06 -0.55; L02 +0.52,,"news, уровень 1",н/п,"724 слов, терциль: короткие",lenta,,pending,,
FP-037,human_science_cyberleninka_0009,FP,"proc2 clf-v1 main/full, holdout_genre_commercial",машина,человек,L05 +3.71; D04 +2.29; L02 -1.94; M01 -1.62; R06 -1.59,,"science, уровень 3",н/п,"1684 слов, терциль: средние",cyberleninka,,pending,,
FP-038,human_hard_rusltc_0036,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.51; R07 -3.60; R06 -3.29; S01 +1.79,,"translation, уровень не задан",н/п,"812 слов, терциль: короткие",rusltc,,pending,,
FP-039,human_seo_drmax_0002,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +2.40; S08 +0.89; L02 -0.85; R06 -0.55; L05 -0.53,,"seo, уровень 2",н/п,"3830 слов, терциль: длинные",drmax,,pending,,
FP-040,human_prose_taiga_arzamas_0045,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; C01 -1.62,,"prose, уровень 0",н/п,"1329 слов, терциль: средние",taiga_arzamas,,pending,,
FP-041,human_news_gazeta_0030,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; C01 -2.72,,"news, уровень 1",н/п,"823 слов, терциль: короткие",gazeta,,pending,,
FP-042,human_seo_sosnovskij_0035,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; F01 -0.34; L04 +0.31; S06 -0.26; P01 -0.20,,"seo, уровень 2",н/п,"4932 слов, терциль: длинные",sosnovskij,,pending,,
FP-043,human_seo_texterra_ru_0012,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; F01 -0.34; S06 -0.33; L02 -0.30; S02 +0.20,,"seo, уровень 2",н/п,"928 слов, терциль: короткие",texterra_ru,,pending,,
FP-044,human_science_urfu_0044,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +1.14; L04 +0.63; M01 -0.61; L02 -0.58; R06 -0.55,,"science, уровень 3",н/п,"4882 слов, терциль: длинные",urfu,,pending,,
FP-045,human_prose_taiga_proza_0045,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.62; D05 -3.64; R07 -3.60; R06 -3.29,,"prose, уровень 0",н/п,"812 слов, терциль: короткие",taiga_proza,,pending,,
FP-046,human_seo_devaka_ru_0014,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +1.36; L05 -0.89; C02 +0.70; L02 -0.66; S08 +0.64,,"seo, уровень 2",н/п,"1256 слов, терциль: средние",devaka_ru,,pending,,
FP-047,human_seo_drmax_su_0008,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +1.24; L02 -0.59; R06 -0.55; S06 -0.48; M01 -0.46,,"seo, уровень 2",н/п,"4554 слов, терциль: длинные",drmax_su,,pending,,
FP-048,human_news_buriy_2014_0021,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.63; R07 -3.60; R06 -3.29; C01 -3.29,,"news, уровень 1",н/п,"1031 слов, терциль: средние",buriy_2014,,pending,,
FP-049,human_seo_madcats_0013,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L05 -1.30; M01 +0.84; L02 -0.70; L04 -0.66; P01 +0.66,,"seo, уровень 2",н/п,"1749 слов, терциль: средние",madcats,,pending,,
FP-050,human_news_lenta_0057,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.95; C01 -2.65; S08 +1.33; M01 -0.56; R06 -0.55,,"news, уровень 1",н/п,"1150 слов, терциль: средние",lenta,,pending,,
FN-001,nemotron_b021_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -1.29; C01 -1.20; R06 -1.08; C02 -0.92; M01 -0.76,"режим P3 запрещает заголовки и списки, структурные признаки R06 и F01 уходят в минус; текст несёт конкретику и опечатки","analytics, уровень не задан",P3,"1382 слов, терциль: средние",nemotron,нет,порог и признак не ошибочны: задание сняло черты на которых держится решение,ассистент,2026-07-29
FN-002,deepseek_pro_b036_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_commercial",человек,машина,F01 -2.34; D05 -2.29; C01 +1.80; L05 -1.79; R06 -1.59,,"commercial, уровень не задан",P3,"1425 слов, терциль: средние",deepseek_pro,,pending,,
FN-003,gpt_b002_P3_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.25; R06 -0.89; C01 -0.65; D05 +0.57; D04 -0.41,"тот же механизм что у FN-001 на другом канале: рубрикации нет, оценка 0.505 на границе","seo, уровень не задан",P3,"1437 слов, терциль: средние",gpt,нет,порог и признак не ошибочны: эффект режима задания а не свойство канала,ассистент,2026-07-29
FN-004,gpt_b002_P1_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.16; R06 -1.15; D05 +0.57; L02 -0.49; C01 -0.42,,"seo, уровень не задан",P1,"1320 слов, терциль: средние",gpt,,pending,,
FN-005,nemotron_b015_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -2.89; C01 -1.77; R06 -1.08; M01 -0.47; F01 -0.42,,"seo, уровень не задан",P3,"2177 слов, терциль: длинные",nemotron,,pending,,
FN-006,deepseek_pro_b003_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; R06 -2.84; R07 -2.32; C02 -2.16; C01 +1.89,,"seo, уровень не задан",P3,"1216 слов, терциль: средние",deepseek_pro,,pending,,
FN-007,gpt_b003_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.38; R06 -2.84; D04 -2.65; R07 -2.32; L04 +1.83,,"seo, уровень не задан",P3,"1349 слов, терциль: средние",gpt,,pending,,
FN-008,gpt_b004_P1_r1,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.25; R06 -1.15; C01 +0.82; L02 -0.65; M01 -0.58,,"seo, уровень не задан",P1,"1230 слов, терциль: средние",gpt,,pending,,
FN-009,nemotron_b026_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.84; L04 -2.54; L01 -1.97; S06 -1.83; F01 -1.82,,"analytics, уровень не задан",P3,"1313 слов, терциль: средние",nemotron,,pending,,
FN-010,deepseek_pro_b015_P3_r2,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,S06 -0.90; R06 -0.55; F01 -0.34; M01 -0.33; L04 -0.33,,"seo, уровень не задан",P3,"1260 слов, терциль: средние",deepseek_pro,,pending,,
FN-011,gpt_b004_P3_r2,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,L02 -0.81; M01 -0.62; R06 -0.55; L05 -0.49; L01 +0.25,,"seo, уровень не задан",P3,"405 слов, терциль: короткие",gpt,,pending,,
FN-012,gpt_b001_P1_r2,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,L04 +0.71; M01 -0.59; R06 -0.42; L02 -0.42; F01 -0.34,,"seo, уровень не задан",P1,"1371 слов, терциль: средние",gpt,,pending,,
FN-013,nemotron_b019_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,C02 -3.84; L01 -2.96; R07 -1.42; L04 -1.32; L02 +1.04,,"analytics, уровень не задан",P3,"1540 слов, терциль: средние",nemotron,,pending,,
FN-014,deepseek_pro_b014_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,L01 -3.78; R06 -2.84; L04 -2.57; F01 -2.36; R07 -2.32,,"seo, уровень не задан",P3,"920 слов, терциль: короткие",deepseek_pro,,pending,,
FN-015,gpt_b023_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_analytics",человек,машина,F01 -2.30; R06 -1.26; C01 +1.18; D05 -1.08; L05 +0.96,,"analytics, уровень не задан",P3,"1392 слов, терциль: средние",gpt,,pending,,
FN-016,gpt_b006_P1_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,F01 -1.25; L05 +0.81; C01 -0.78; R06 +0.62; D04 -0.39,,"seo, уровень не задан",P1,"1666 слов, терциль: средние",gpt,,pending,,
FN-017,nemotron_b043_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,L01 -1.70; S06 -1.29; R06 -1.08; M01 +0.81; C01 -0.79,,"commercial, уровень не задан",P3,"1352 слов, терциль: средние",nemotron,,pending,,
FN-018,deepseek_pro_b010_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.84; F01 -2.37; R07 -2.32; C01 +1.77; L05 -0.89,,"seo, уровень не задан",P3,"1228 слов, терциль: средние",deepseek_pro,,pending,,
FN-019,gpt_b001_P3_r2,FN,"proc2 clf-v1 main/full, holdout_model_OpenAI",человек,машина,R06 -1.15; L02 -0.61; D05 +0.57; F01 -0.39; D04 -0.38,,"seo, уровень не задан",P3,"1531 слов, терциль: средние",gpt,,pending,,
FN-020,nemotron_b015_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -2.19; F01 +2.00; C01 -1.80; R06 -1.08; L01 -0.63,,"seo, уровень не задан",P3,"2766 слов, терциль: длинные",nemotron,,pending,,
FN-021,deepseek_pro_b015_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; S06 -3.39; R07 -2.32; C01 +1.20; S02 +0.83,,"seo, уровень не задан",P3,"1876 слов, терциль: средние",deepseek_pro,,pending,,
FN-022,gpt_b010_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,R06 -0.55; L04 +0.41; L02 -0.38; L05 -0.34; F01 -0.31,,"seo, уровень не задан",P3,"1447 слов, терциль: средние",gpt,,pending,,
FN-023,nemotron_b035_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C01 -1.85; S06 -0.69; D04 +0.63; F01 +0.62; D05 -0.59,,"commercial, уровень не задан",P3,"2546 слов, терциль: длинные",nemotron,,pending,,
FN-024,deepseek_pro_b016_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; R06 -2.84; R07 -2.32; L05 +1.11; C01 +1.10,,"analytics, уровень не задан",P3,"1422 слов, терциль: средние",deepseek_pro,,pending,,
FN-025,nemotron_b019_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C02 -1.14; D04 -0.76; S02 -0.70; R01 -0.70; L04 -0.56,,"analytics, уровень не задан",P3,"1514 слов, терциль: средние",nemotron,,pending,,
FN-026,deepseek_pro_b016_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; R06 -2.84; R07 -1.61; C02 +0.87; L02 +0.82,,"analytics, уровень не задан",P3,"1380 слов, терциль: средние",deepseek_pro,,pending,,
FN-027,nemotron_b028_P3_r1,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,S06 -3.45; C02 -0.83; C01 -0.64; R06 +0.50; F01 +0.45,,"analytics, уровень не задан",P3,"1984 слов, терциль: средние",nemotron,,pending,,
FN-028,deepseek_pro_b013_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; R06 -2.84; R07 -2.32; C01 +2.29; S06 +1.52,,"seo, уровень не задан",P3,"1235 слов, терциль: средние",deepseek_pro,,pending,,
FN-029,nemotron_b041_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; L01 -3.38; D04 +3.08; R06 -2.84; R07 -2.32,,"commercial, уровень не задан",P3,"878 слов, терциль: короткие",nemotron,,pending,,
FN-030,deepseek_pro_b001_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_seo",человек,машина,M01 -0.74; R06 -0.55; L02 -0.34; C01 -0.22; S01 +0.21,,"seo, уровень не задан",P3,"1306 слов, терциль: средние",deepseek_pro,,pending,,
FN-031,nemotron_b033_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,M01 +1.10; R06 -1.08; S06 -1.05; L01 -1.02; D04 +0.83,,"commercial, уровень не задан",P3,"1032 слов, терциль: средние",nemotron,,pending,,
FN-032,deepseek_pro_b004_P3_r2,FN,"proc2 clf-v1 main/full, holdout_model_DeepSeek",человек,машина,R06 -0.60; C01 +0.44; F01 -0.43; L05 -0.38; S06 +0.29,,"seo, уровень не задан",P3,"984 слов, терциль: короткие",deepseek_pro,,pending,,
FN-033,nemotron_b035_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,C01 -1.44; R06 -1.08; D04 +0.96; L05 -0.75; C02 -0.52,,"commercial, уровень не задан",P3,"2270 слов, терциль: длинные",nemotron,,pending,,
FN-034,deepseek_pro_b011_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,F01 -3.69; R06 -2.84; R07 -2.04; C01 +1.32; L04 +1.17,,"seo, уровень не задан",P3,"2123 слов, терциль: длинные",deepseek_pro,,pending,,
FN-035,nemotron_b003_P3_r2,FN,"proc2 clf-v1 main/full, holdout_author",человек,машина,F01 +1.57; S06 -1.40; C02 -1.30; L05 -1.05; M01 -0.85,,"seo, уровень не задан",P3,"2573 слов, терциль: длинные",nemotron,,pending,,
FN-036,deepseek_pro_b029_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.84; R07 -2.32; F01 -2.05; C01 +1.49; S06 +1.00,,"analytics, уровень не задан",P3,"1488 слов, терциль: средние",deepseek_pro,,pending,,
FN-037,nemotron_b037_P3_r1,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,R06 -2.84; L01 -1.81; L05 +1.57; R07 -1.57; L04 -1.13,,"commercial, уровень не задан",P3,"1826 слов, терциль: средние",nemotron,,pending,,
FN-038,deepseek_pro_b027_P3_r1,FN,"proc2 clf-v1 main/full, holdout_genre_analytics",человек,машина,F01 -2.30; R06 -1.68; D05 +1.07; R07 -0.72; D04 -0.68,,"analytics, уровень не задан",P3,"1342 слов, терциль: средние",deepseek_pro,,pending,,
FN-039,nemotron_b020_P3_r2,FN,"proc2 clf-v1 main/full, holdout_prompt_P3",человек,машина,C02 -4.60; C01 +2.02; S06 -1.72; L02 -1.36; L01 +1.10,,"analytics, уровень не задан",P3,"2221 слов, терциль: длинные",nemotron,,pending,,
FN-040,deepseek_pro_b028_P3_r1,FN,"proc2 clf-v1 main/full, holdout_model_DeepSeek",человек,машина,S06 -1.42; R06 -0.60; M01 +0.49; D04 +0.37; L02 +0.26,,"analytics, уровень не задан",P3,"1011 слов, терциль: короткие",deepseek_pro,,pending,,
DIS-001,human_science_urfu_0038,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.54; proc2 0.00; proc3 0.77; proc4 1.00,H,размах перцентилей 0.99,,"science, уровень 3",н/п,"4569 слов, терциль: длинные",urfu,,pending,,
DIS-002,human_science_urfu_0046,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.91; proc2 0.01; proc3 0.97; proc4 1.00,H,размах перцентилей 0.99,,"science, уровень 3",н/п,"4315 слов, терциль: длинные",urfu,,pending,,
DIS-003,real_claude_b014_P1_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.55; proc3 0.29; proc4 0.01,A,размах перцентилей 0.99,,"seo, уровень не задан",P1,"1724 слов, терциль: средние",real_claude,,pending,,
DIS-004,real_claude_b017_P3_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.31; proc2 0.77; proc3 0.01; proc4 0.99,A,размах перцентилей 0.99,,"analytics, уровень не задан",P3,"1408 слов, терциль: средние",real_claude,,pending,,
DIS-005,human_news_lenta_0039,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.00; proc2 0.00; proc3 0.98; proc4 0.25,H,размах перцентилей 0.98,,"news, уровень 1",н/п,"791 слов, терциль: короткие",lenta,,pending,,
DIS-006,deepseek_pro_b019_P2_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.84; proc2 0.99; proc3 0.33; proc4 0.01,A,размах перцентилей 0.98,,"analytics, уровень не задан",P2,"1663 слов, терциль: средние",deepseek_pro,,pending,,
DIS-007,deepseek_pro_b003_P2_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 1.00; proc2 0.71; proc3 0.52; proc4 0.02,A,размах перцентилей 0.98,,"seo, уровень не задан",P2,"1656 слов, терциль: средние",deepseek_pro,,pending,,
DIS-008,human_news_lenta_0010,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.09; proc2 0.00; proc3 0.98; proc4 0.91,H,размах перцентилей 0.98,,"news, уровень 1",н/п,"1009 слов, терциль: короткие",lenta,,pending,,
DIS-009,human_prose_taiga_proza_0009,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.02; proc3 0.60; proc4 0.28,H,размах перцентилей 0.97,,"prose, уровень 0",н/п,"4024 слов, терциль: длинные",taiga_proza,,pending,,
