original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format
human_hard_rusltc_0003,2,изменение markdown-разметки,1,H,translation,,,51.2681,49.8016,-1.4665,1.4665,0,14,4
human_hard_rusltc_0055,2,изменение markdown-разметки,1,H,translation,,,40.5797,38.0952,-2.4845,2.4845,0,14,4
human_hard_rusltc_0068,2,изменение markdown-разметки,1,H,translation,,,17.3913,23.0159,5.6246,5.6246,1,14,4
human_hard_rusltc_0073,2,изменение markdown-разметки,1,H,translation,,,54.8309,55.2910,0.4601,0.4601,0,14,4
human_news_buriy_2014_0027,2,изменение markdown-разметки,1,H,news,,,29.3478,22.6190,-6.7288,6.7288,1,14,4
human_news_buriy_2014_0034,2,изменение markdown-разметки,1,H,news,,,47.2222,50.9259,3.7037,3.7037,0,14,4
human_news_gazeta_0031,2,изменение markdown-разметки,1,H,news,,,36.3527,35.0529,-1.2998,1.2998,0,14,4
human_news_gazeta_0040,2,изменение markdown-разметки,1,H,news,,,29.1063,25.1323,-3.9740,3.9740,0,14,4
human_news_lenta_0001,2,изменение markdown-разметки,1,H,news,,,49.2150,48.3466,-0.8684,0.8684,0,14,4
human_news_lenta_0016,2,изменение markdown-разметки,1,H,news,,,61.2319,59.1270,-2.1049,2.1049,0,14,4
human_prose_taiga_arzamas_0050,2,изменение markdown-разметки,1,H,prose,,,26.2077,26.3228,0.1151,0.1151,0,14,4
human_prose_taiga_arzamas_0051,2,изменение markdown-разметки,1,H,prose,,,39.0097,43.5185,4.5088,4.5088,0,14,4
human_prose_taiga_magazines_0048,2,изменение markdown-разметки,1,H,prose,,,55.1329,57.2090,2.0761,2.0761,0,14,4
human_prose_taiga_magazines_0053,2,изменение markdown-разметки,1,H,prose,,,17.2101,18.8492,1.6391,1.6391,0,14,4
human_prose_taiga_proza_0034,2,изменение markdown-разметки,1,H,prose,,,34.0580,30.1587,-3.8993,3.8993,0,14,4
human_prose_taiga_proza_0056,2,изменение markdown-разметки,1,H,prose,,,37.0169,29.4312,-7.5857,7.5857,1,14,4
human_science_cyberleninka_0026,2,изменение markdown-разметки,1,H,science,,,35.0845,38.4259,3.3414,3.3414,0,14,4
human_science_cyberleninka_0031,2,изменение markdown-разметки,1,H,science,,,41.1836,30.0265,-11.1571,11.1571,1,14,4
human_science_cyberleninka_0032,2,изменение markdown-разметки,1,H,science,,,37.5604,33.9947,-3.5657,3.5657,0,14,4
human_science_cyberleninka_0053,2,изменение markdown-разметки,1,H,science,,,46.7995,44.9074,-1.8921,1.8921,0,14,4
human_science_spbgu_0024,2,изменение markdown-разметки,1,H,science,,,51.9324,47.3545,-4.5779,4.5779,0,14,4
human_science_urfu_0028,2,изменение markdown-разметки,1,H,science,,,41.7874,33.0688,-8.7186,8.7186,1,14,4
human_seo_alaev_0004,2,изменение markdown-разметки,1,H,seo,,,37.8623,32.7381,-5.1242,5.1242,1,14,4
human_seo_convertmonster_0001,2,изменение markdown-разметки,1,H,seo,,,28.3816,21.5608,-6.8208,6.8208,1,14,4
human_seo_devaka_ru_0004,2,изменение markdown-разметки,1,H,seo,,,36.9565,32.5397,-4.4168,4.4168,0,14,4
human_seo_drmax_0002,2,изменение markdown-разметки,1,H,seo,,,38.1039,44.9074,6.8035,6.8035,1,14,4
human_seo_drmax_su_0001,2,изменение markdown-разметки,1,H,seo,,,29.7101,20.6349,-9.0752,9.0752,1,14,4
human_seo_labrika_0002,2,изменение markdown-разметки,1,H,seo,,,26.1473,36.5741,10.4268,10.4268,1,14,4
nemotron_b012_P1_r1,2,изменение markdown-разметки,1,A,seo,P1,nemotron,53.3213,44.1138,-9.2075,9.2075,1,14,4
nemotron_b015_P3_r2,2,изменение markdown-разметки,1,A,seo,P3,nemotron,61.7754,57.3413,-4.4341,4.4341,0,14,4
nemotron_b016_P1_r1,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,52.5362,40.8730,-11.6632,11.6632,1,14,4
nemotron_b022_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,nemotron,38.8889,29.1005,-9.7884,9.7884,1,14,4
nemotron_b028_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,nemotron,65.2778,54.0344,-11.2434,11.2434,1,14,4
nemotron_b033_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,nemotron,60.1449,45.6349,-14.5100,14.5100,1,14,4
nemotron_b038_P1_r2,2,изменение markdown-разметки,1,A,commercial,P1,nemotron,55.1932,44.5767,-10.6165,10.6165,1,14,4
real_claude_b015_P2_r1,2,изменение markdown-разметки,1,A,seo,P2,real_claude,58.5145,43.4524,-15.0621,15.0621,1,14,4
real_claude_b018_P3_r2,2,изменение markdown-разметки,1,A,analytics,P3,real_claude,45.7126,43.7169,-1.9957,1.9957,0,14,4
real_claude_b024_P1_r2,2,изменение markdown-разметки,1,A,analytics,P1,real_claude,53.4420,40.2778,-13.1642,13.1642,1,14,4
real_claude_b025_P2_r1,2,изменение markdown-разметки,1,A,analytics,P2,real_claude,46.2560,28.4392,-17.8168,17.8168,1,14,4
real_claude_b034_P2_r2,2,изменение markdown-разметки,1,A,commercial,P2,real_claude,72.8865,52.8439,-20.0426,20.0426,1,14,4
real_claude_b040_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,43.7198,32.0106,-11.7092,11.7092,1,14,4
real_claude_b042_P3_r2,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,29.0459,26.2566,-2.7893,2.7893,0,14,4
real_claude_b045_P3_r1,2,изменение markdown-разметки,1,A,commercial,P3,real_claude,53.5024,49.0741,-4.4283,4.4283,0,14,4
deepseek_pro_b002_P3_r1,3,удаление заголовков,0,A,seo,P3,deepseek_pro,39.0097,39.5503,0.5406,0.5406,0,14,4
deepseek_pro_b004_P2_r1,3,удаление заголовков,0,A,seo,P2,deepseek_pro,63.7681,47.6190,-16.1491,16.1491,1,14,4
deepseek_pro_b007_P3_r2,3,удаление заголовков,0,A,seo,P3,deepseek_pro,47.5845,42.5926,-4.9919,4.9919,0,14,4
deepseek_pro_b009_P1_r1,3,удаление заголовков,0,A,seo,P1,deepseek_pro,49.1546,44.3122,-4.8424,4.8424,0,14,4
deepseek_pro_b009_P2_r2,3,удаление заголовков,0,A,seo,P2,deepseek_pro,53.0797,47.2222,-5.8575,5.8575,1,14,4
deepseek_pro_b021_P2_r2,3,удаление заголовков,0,A,analytics,P2,deepseek_pro,59.8430,45.7011,-14.1419,14.1419,1,14,4
deepseek_pro_b037_P2_r2,3,удаление заголовков,0,A,commercial,P2,deepseek_pro,61.2923,45.7011,-15.5912,15.5912,1,14,4
deepseek_pro_b038_P1_r2,3,удаление заголовков,0,A,commercial,P1,deepseek_pro,43.0556,34.2593,-8.7963,8.7963,1,14,4
gpt_b004_P1_r1,3,удаление заголовков,0,A,seo,P1,gpt,41.5459,35.1852,-6.3607,6.3607,1,14,4
gpt_b004_P3_r1,3,удаление заголовков,0,A,seo,P3,gpt,35.0242,29.6296,-5.3946,5.3946,1,14,4
gpt_b021_P3_r2,3,удаление заголовков,0,A,analytics,P3,gpt,52.4155,52.6455,0.2300,0.2300,0,14,4
gpt_b026_P1_r1,3,удаление заголовков,0,A,analytics,P1,gpt,61.1715,61.4418,0.2703,0.2703,0,14,4
gpt_b028_P2_r1,3,удаление заголовков,0,A,analytics,P2,gpt,43.7802,31.2831,-12.4971,12.4971,1,14,4
gpt_b031_P1_r1,3,удаление заголовков,0,A,commercial,P1,gpt,29.7705,36.5741,6.8036,6.8036,1,14,4
gpt_b040_P2_r1,3,удаление заголовков,0,A,commercial,P2,gpt,60.1449,50.0000,-10.1449,10.1449,1,14,4
human_hard_rusltc_0001,3,удаление заголовков,0,H,translation,,,45.2899,46.1640,0.8741,0.8741,0,14,4
human_hard_rusltc_0002,3,удаление заголовков,0,H,translation,,,46.7391,40.8730,-5.8661,5.8661,1,14,4
human_hard_rusltc_0003,3,удаление заголовков,0,H,translation,,,51.2681,49.8016,-1.4665,1.4665,0,14,4
human_hard_rusltc_0055,3,удаление заголовков,0,H,translation,,,40.5797,38.0952,-2.4845,2.4845,0,14,4
human_hard_rusltc_0068,3,удаление заголовков,0,H,translation,,,17.3913,23.0159,5.6246,5.6246,1,14,4
human_hard_rusltc_0073,3,удаление заголовков,0,H,translation,,,54.8309,55.2910,0.4601,0.4601,0,14,4
human_news_buriy_2014_0027,3,удаление заголовков,0,H,news,,,29.3478,22.6190,-6.7288,6.7288,1,14,4
human_news_buriy_2014_0034,3,удаление заголовков,0,H,news,,,47.2222,50.9259,3.7037,3.7037,0,14,4
human_news_gazeta_0031,3,удаление заголовков,0,H,news,,,36.3527,35.0529,-1.2998,1.2998,0,14,4
human_news_gazeta_0040,3,удаление заголовков,0,H,news,,,29.1063,25.1323,-3.9740,3.9740,0,14,4
human_news_lenta_0001,3,удаление заголовков,0,H,news,,,49.2150,48.3466,-0.8684,0.8684,0,14,4
human_news_lenta_0016,3,удаление заголовков,0,H,news,,,61.2319,59.1270,-2.1049,2.1049,0,14,4
human_prose_taiga_arzamas_0050,3,удаление заголовков,0,H,prose,,,26.2077,26.3228,0.1151,0.1151,0,14,4
human_prose_taiga_arzamas_0051,3,удаление заголовков,0,H,prose,,,39.0097,43.5185,4.5088,4.5088,0,14,4
human_prose_taiga_magazines_0048,3,удаление заголовков,0,H,prose,,,55.1329,57.2090,2.0761,2.0761,0,14,4
human_prose_taiga_magazines_0053,3,удаление заголовков,0,H,prose,,,17.2101,18.8492,1.6391,1.6391,0,14,4
human_prose_taiga_proza_0034,3,удаление заголовков,0,H,prose,,,34.0580,30.1587,-3.8993,3.8993,0,14,4
human_prose_taiga_proza_0056,3,удаление заголовков,0,H,prose,,,37.0169,29.4312,-7.5857,7.5857,1,14,4
human_science_cyberleninka_0026,3,удаление заголовков,0,H,science,,,35.0845,38.4259,3.3414,3.3414,0,14,4
human_science_cyberleninka_0031,3,удаление заголовков,0,H,science,,,41.1836,30.0265,-11.1571,11.1571,1,14,4
human_science_cyberleninka_0032,3,удаление заголовков,0,H,science,,,37.5604,33.9947,-3.5657,3.5657,0,14,4
human_science_cyberleninka_0053,3,удаление заголовков,0,H,science,,,46.7995,44.9074,-1.8921,1.8921,0,14,4
human_science_spbgu_0024,3,удаление заголовков,0,H,science,,,51.9324,47.3545,-4.5779,4.5779,0,14,4
human_science_urfu_0028,3,удаление заголовков,0,H,science,,,41.7874,33.0688,-8.7186,8.7186,1,14,4
human_seo_alaev_0004,3,удаление заголовков,0,H,seo,,,37.8623,32.7381,-5.1242,5.1242,1,14,4
human_seo_convertmonster_0001,3,удаление заголовков,0,H,seo,,,28.3816,21.5608,-6.8208,6.8208,1,14,4
human_seo_devaka_ru_0004,3,удаление заголовков,0,H,seo,,,36.9565,32.5397,-4.4168,4.4168,0,14,4
human_seo_drmax_0002,3,удаление заголовков,0,H,seo,,,38.1039,44.9074,6.8035,6.8035,1,14,4
human_seo_drmax_su_0001,3,удаление заголовков,0,H,seo,,,29.7101,20.6349,-9.0752,9.0752,1,14,4
human_seo_labrika_0002,3,удаление заголовков,0,H,seo,,,26.1473,36.5741,10.4268,10.4268,1,14,4
nemotron_b012_P1_r1,3,удаление заголовков,0,A,seo,P1,nemotron,53.3213,44.1138,-9.2075,9.2075,1,14,4
nemotron_b015_P3_r2,3,удаление заголовков,0,A,seo,P3,nemotron,61.7754,57.3413,-4.4341,4.4341,0,14,4
nemotron_b016_P1_r1,3,удаление заголовков,0,A,analytics,P1,nemotron,52.5362,40.8730,-11.6632,11.6632,1,14,4
nemotron_b022_P3_r2,3,удаление заголовков,0,A,analytics,P3,nemotron,38.8889,29.1005,-9.7884,9.7884,1,14,4
nemotron_b028_P1_r2,3,удаление заголовков,0,A,analytics,P1,nemotron,65.2778,54.0344,-11.2434,11.2434,1,14,4
nemotron_b033_P2_r2,3,удаление заголовков,0,A,commercial,P2,nemotron,60.1449,51.5873,-8.5576,8.5576,1,14,4
nemotron_b038_P1_r2,3,удаление заголовков,0,A,commercial,P1,nemotron,55.1932,44.5767,-10.6165,10.6165,1,14,4
real_claude_b015_P2_r1,3,удаление заголовков,0,A,seo,P2,real_claude,58.5145,43.4524,-15.0621,15.0621,1,14,4
real_claude_b018_P3_r2,3,удаление заголовков,0,A,analytics,P3,real_claude,45.7126,43.7169,-1.9957,1.9957,0,14,4
real_claude_b024_P1_r2,3,удаление заголовков,0,A,analytics,P1,real_claude,53.4420,40.8730,-12.5690,12.5690,1,14,4
real_claude_b025_P2_r1,3,удаление заголовков,0,A,analytics,P2,real_claude,46.2560,28.4392,-17.8168,17.8168,1,14,4
real_claude_b034_P2_r2,3,удаление заголовков,0,A,commercial,P2,real_claude,72.8865,50.4630,-22.4235,22.4235,1,14,4
real_claude_b040_P3_r2,3,удаление заголовков,0,A,commercial,P3,real_claude,43.7198,32.0106,-11.7092,11.7092,1,14,4
real_claude_b042_P3_r2,3,удаление заголовков,0,A,commercial,P3,real_claude,29.0459,26.2566,-2.7893,2.7893,0,14,4
real_claude_b045_P3_r1,3,удаление заголовков,0,A,commercial,P3,real_claude,53.5024,49.0741,-4.4283,4.4283,0,14,4
deepseek_pro_b002_P3_r1,4,перестановка абзацев,1,A,seo,P3,deepseek_pro,39.0097,44.3122,5.3025,5.3025,1,14,4
deepseek_pro_b004_P2_r1,4,перестановка абзацев,1,A,seo,P2,deepseek_pro,63.7681,45.7672,-18.0009,18.0009,1,14,4
deepseek_pro_b007_P3_r2,4,перестановка абзацев,1,A,seo,P3,deepseek_pro,47.5845,42.5926,-4.9919,4.9919,0,14,4
deepseek_pro_b009_P1_r1,4,перестановка абзацев,1,A,seo,P1,deepseek_pro,49.1546,44.3122,-4.8424,4.8424,0,14,4
deepseek_pro_b009_P2_r2,4,перестановка абзацев,1,A,seo,P2,deepseek_pro,53.0797,47.2222,-5.8575,5.8575,1,14,4
deepseek_pro_b021_P2_r2,4,перестановка абзацев,1,A,analytics,P2,deepseek_pro,59.8430,45.7011,-14.1419,14.1419,1,14,4
deepseek_pro_b037_P2_r2,4,перестановка абзацев,1,A,commercial,P2,deepseek_pro,61.2923,45.7011,-15.5912,15.5912,1,14,4
deepseek_pro_b038_P1_r2,4,перестановка абзацев,1,A,commercial,P1,deepseek_pro,43.0556,41.6005,-1.4551,1.4551,0,14,4
gpt_b004_P1_r1,4,перестановка абзацев,1,A,seo,P1,gpt,41.5459,35.1852,-6.3607,6.3607,1,14,4
gpt_b004_P3_r1,4,перестановка абзацев,1,A,seo,P3,gpt,35.0242,29.6296,-5.3946,5.3946,1,14,4
gpt_b021_P3_r2,4,перестановка абзацев,1,A,analytics,P3,gpt,52.4155,52.6455,0.2300,0.2300,0,14,4
gpt_b026_P1_r1,4,перестановка абзацев,1,A,analytics,P1,gpt,61.1715,56.6799,-4.4916,4.4916,0,14,4
gpt_b028_P2_r1,4,перестановка абзацев,1,A,analytics,P2,gpt,43.7802,36.0450,-7.7352,7.7352,1,14,4
gpt_b031_P1_r1,4,перестановка абзацев,1,A,commercial,P1,gpt,29.7705,36.5741,6.8036,6.8036,1,14,4
gpt_b040_P2_r1,4,перестановка абзацев,1,A,commercial,P2,gpt,60.1449,48.2143,-11.9306,11.9306,1,14,4
human_hard_rusltc_0001,4,перестановка абзацев,1,H,translation,,,45.2899,46.1640,0.8741,0.8741,0,14,4
human_hard_rusltc_0002,4,перестановка абзацев,1,H,translation,,,46.7391,40.8730,-5.8661,5.8661,1,14,4
human_hard_rusltc_0003,4,перестановка абзацев,1,H,translation,,,51.2681,49.8016,-1.4665,1.4665,0,14,4
human_hard_rusltc_0055,4,перестановка абзацев,1,H,translation,,,40.5797,38.0952,-2.4845,2.4845,0,14,4
human_hard_rusltc_0068,4,перестановка абзацев,1,H,translation,,,17.3913,23.0159,5.6246,5.6246,1,14,4
human_hard_rusltc_0073,4,перестановка абзацев,1,H,translation,,,54.8309,55.2910,0.4601,0.4601,0,14,4
human_news_buriy_2014_0027,4,перестановка абзацев,1,H,news,,,29.3478,22.6190,-6.7288,6.7288,1,14,4
human_news_buriy_2014_0034,4,перестановка абзацев,1,H,news,,,47.2222,50.9259,3.7037,3.7037,0,14,4
human_news_gazeta_0031,4,перестановка абзацев,1,H,news,,,36.3527,35.0529,-1.2998,1.2998,0,14,4
human_news_gazeta_0040,4,перестановка абзацев,1,H,news,,,29.1063,25.1323,-3.9740,3.9740,0,14,4
human_news_lenta_0001,4,перестановка абзацев,1,H,news,,,49.2150,48.3466,-0.8684,0.8684,0,14,4
human_news_lenta_0016,4,перестановка абзацев,1,H,news,,,61.2319,59.1270,-2.1049,2.1049,0,14,4
human_prose_taiga_arzamas_0050,4,перестановка абзацев,1,H,prose,,,26.2077,31.0847,4.8770,4.8770,0,14,4
human_prose_taiga_arzamas_0051,4,перестановка абзацев,1,H,prose,,,39.0097,43.5185,4.5088,4.5088,0,14,4
human_prose_taiga_magazines_0048,4,перестановка абзацев,1,H,prose,,,55.1329,57.2090,2.0761,2.0761,0,14,4
human_prose_taiga_magazines_0053,4,перестановка абзацев,1,H,prose,,,17.2101,18.8492,1.6391,1.6391,0,14,4
human_prose_taiga_proza_0034,4,перестановка абзацев,1,H,prose,,,34.0580,34.9206,0.8626,0.8626,0,14,4
human_prose_taiga_proza_0056,4,перестановка абзацев,1,H,prose,,,37.0169,29.4312,-7.5857,7.5857,1,14,4
human_science_cyberleninka_0026,4,перестановка абзацев,1,H,science,,,35.0845,38.4259,3.3414,3.3414,0,14,4
human_science_cyberleninka_0031,4,перестановка абзацев,1,H,science,,,41.1836,35.4497,-5.7339,5.7339,1,14,4
